sRNA	aCM_1	aCM_2
URS00002C342A_GR_chr10_50247858_50247890_33_-	0.88	0
mmu_piR_007381_DQ563757	0	0
mmu_piR_003794_DQ550846	0	0
mmu_piR_025634_DQ709045	0	0
mmu_piR_002102_DQ545284	0	0
URS0000368CE6_GR_chr10_50589561_50589590_30_-	0	0
URS000050A83E_GR_chr10_51884450_51884500_51_+	0	0
URS000031E089_GR_chr10_51900426_51900455_30_+	0	0
URS0000632ED2_GR_chr10_52215938_52216014_77_-	0	0.11
mmu_piR_024631_DQ707612	0	0
URS00005BD8A8_GR_chr10_52603675_52603705_31_+	0	0
mmu_piR_029943_DQ715267	0	0
mmu_piR_014490_DQ692703	0	0
URS0000484EFF_GR_chr10_53574990_53575018_29_-	0	0
URS00005BD8A8_GR_chr10_53830100_53830130_31_+	0	0
URS00000406F1_GR_chr10_54242657_54242694_38_-	0	0.05
mmu_piR_010564_DQ686722	0	0
URS000018FC89_GR_chr10_54593381_54593432_52_-	0	0
URS000065FB5F_GR_chr10_54712976_54713037_62_-	0	0
mmu_piR_035476_DQ723291	0	0
URS00000369DE_GR_chr10_55080590_55080615_26_+	0	0
URS0000513319_GR_chr10_55249116_55249188_73_+	0.25	0
URS0000427DFE_GR_chr10_55262839_55262863_25_-	0	0
URS00005F20A4_GR_chr10_55407859_55407902_44_+	0	0
URS0000114003_GR_chr10_55612251_55612283_33_+	0	0
URS0000418E62_GR_chr10_55627135_55627161_27_-	0	0
URS0000688632_GR_chr10_55627776_55627861_86_+	0	0
URS00001DB72A_GR_chr10_55741368_55741403_36_-	0	0
URS000070EE18_GR_chr10_55822966_55823057_92_+	0	0.02
mmu_piR_028226_DQ712797	0	0
URS00000F6BFD_GR_chr10_55867413_55867447_35_+	0	0
URS00001ACC38_GR_chr10_56216030_56216054_25_-	0	0
URS00003D4881_GR_chr10_56240340_56240412_73_+	0.02	0
URS00002A2B4B_GR_chr10_56240343_56240424_82_+	0	0.12
URS000036976B_GR_chr10_56273322_56273346_25_+	0	0
URS0000419078_GR_chr10_56276920_56276942_23_-	0	0
URS0000098C75_GR_chr10_56330696_56330769_74_-	0.05	0.2
URS0000487A48_GR_chr10_56330698_56330773_76_-	0	0.33
URS00001907AA_GR_chr10_56330699_56330767_69_-	0	0
mmu_piR_001804_DQ544453	0	0
mmu_piR_017182_DQ696674	0	0
mmu_piR_000933_DQ541775	0	0
mmu_piR_018232_DQ698237	0	0
mmu_piR_027092_DQ711152	0	0
mmu_piR_034856_DQ722375	0	0
mmu_piR_021625_DQ703193	0	0
mmu_piR_005152_DQ555208	0	0
URS00005D4FA3_GR_chr10_56674946_56674978_33_-	0	0
URS0000379AB4_GR_chr10_57782584_57782601_18_+	0	0
URS00000DF268_GR_chr10_57852282_57852302_21_+	0	0
URS000027CE9E_GR_chr10_57852284_57852303_20_+	0	0
URS000003F055_GR_chr10_57853290_57853310_21_-	0	0
URS00004B9E52_GR_chr10_57855418_57855441_24_+	0.33	0
URS00002CC6F0_GR_chr10_57855426_57855449_24_+	0	0
URS000059AE1D_GR_chr10_57856206_57856229_24_-	0	0
URS0000319555_GR_chr10_57856896_57856914_19_+	0	0
URS00003795DB_GR_chr10_57856990_57857009_20_+	0	0
URS00002EAD04_GR_chr10_57857075_57857094_20_-	0	0
URS000053873D_GR_chr10_57857077_57857097_21_-	0	0
URS00003B7739_GR_chr10_57857077_57857098_22_-	0	0
URS00000068B3_GR_chr10_57857079_57857098_20_-	0	0
URS00003D144A_GR_chr10_57857080_57857100_21_-	0	0
URS00005AE331_GR_chr10_57857151_57857173_23_-	0	0
URS00004CC0F4_GR_chr10_57857243_57857263_21_+	0	0
URS000023356D_GR_chr10_57857256_57857279_24_+	0	0
URS00005467C7_GR_chr10_58219766_58219796_31_-	0	0
URS00002CB3D6_GR_chr10_58219768_58219796_29_-	0	0
URS00004794BB_GR_chr10_58313770_58313796_27_+	0	0
URS00004BE8D0_GR_chr10_58313772_58313797_26_+	0	0
URS00002843A6_GR_chr10_58376333_58376404_72_-	0	0
URS000003BB04_GR_chr10_58376333_58376405_73_-	0	0
URS00001769CD_GR_chr10_58376335_58376405_71_-	0	0
URS0000452752_GR_chr10_58376336_58376405_70_-	0	0
URS000065C832_GR_chr10_58377025_58377082_58_-	0.02	0
URS00005263D9_GR_chr10_58444628_58444657_30_+	0	0
URS0000714564_GR_chr10_58623587_58623659_73_-	0	0
URS00001A4305_GR_chr10_58688138_58688171_34_+	0	0
URS00001B3A58_GR_chr10_58688176_58688204_29_+	0	0
URS0000232803_GR_chr10_58688225_58688252_28_+	0	0.03
URS0000A8DCBA_GR_chr10_58704576_58704651_76_-	0	0.03
mmu_piR_025221_DQ708447	0	0
URS000061424E_GR_chr10_58862051_58862076_26_-	0	0
URS000037EA40_GR_chr10_58862055_58862079_25_-	0	0
URS00004785A0_GR_chr10_58958763_58958803_41_-	0	0
mmu_piR_027965_DQ712408	0	0
mmu_piR_021424_DQ702893	0	0
URS000036E815_GR_chr10_59113660_59113705_46_-	0	0
mmu_piR_002265_DQ545885	0	0.02
mmu_piR_023682_DQ706239	0	0
mmu_piR_032781_DQ719311	0	0
URS00003CCB13_GR_chr10_59209371_59209396_26_+	0.06	0
URS00006036A4_GR_chr10_59307092_59307122_31_-	0	0
URS00001E1C56_GR_chr10_59307095_59307127_33_-	0	0
URS00000BC714_GR_chr10_59307097_59307127_31_-	0	0
URS000038BA04_GR_chr10_59383232_59383253_22_+	0.36	0.21
mmu_piR_032570_DQ718998	0.19	0.08
URS0000022E18_GR_chr10_59697824_59697896_73_+	0	0
URS00006764AF_GR_chr10_59936846_59936918_73_+	0	0
URS000054BA66_GR_chr10_59953444_59953489_46_+	0	0
URS0000615A2B_GR_chr10_60059542_60059567_26_+	0	0
URS00001E0AF2_GR_chr10_60059542_60059568_27_+	0	0
URS00002AD34D_GR_chr10_60059542_60059569_28_+	0	0
URS0000201157_GR_chr10_60059542_60059570_29_+	0.01	0.01
URS00002242B6_GR_chr10_60059543_60059568_26_+	0	0
URS0000497DF7_GR_chr10_60059547_60059568_22_+	0	0
URS000075BCAC_GR_chr10_60126776_60126833_58_+	0	0
URS000075BE1D_GR_chr10_60126777_60126800_24_+	0	0
URS000075CAB7_GR_chr10_60126813_60126833_21_+	0	0
URS0000A9A8DE_GR_chr10_60211185_60211251_67_-	0	0
URS00000664E6_GR_chr10_60300560_60300598_39_+	16	34
URS00006F8091_GR_chr10_60428819_60428891_73_+	0	0
URS00002AB0F5_GR_chr10_60527076_60527148_73_-	0	0
URS000075A479_GR_chr10_60923023_60923113_91_+	0	0
URS000075AEA7_GR_chr10_60923077_60923100_24_+	0	0
URS000019E14D_GR_chr10_60960802_60960824_23_+	0	0
URS000006B4EE_GR_chr10_60994023_60994064_42_+	0	0
URS00006A4F39_GR_chr10_61088868_61088940_73_+	0	0
URS0000AAF968_GR_chr10_61125137_61125235_99_-	0	0
URS00007217B3_GR_chr10_61221020_61221090_71_-	0	0
URS0000606ED6_GR_chr10_61338320_61338348_29_-	0	0
URS0000623C5A_GR_chr10_61360585_61360657_73_-	0	0
URS00005C3D53_GR_chr10_61363759_61363830_72_+	0	0
URS0000712495_GR_chr10_61421661_61421722_62_+	0	0
URS00005D1A0F_GR_chr10_61428593_61428619_27_-	0	1
URS00001548F0_GR_chr10_61429644_61429669_26_-	0	0.5
URS00003F3F23_GR_chr10_61429645_61429669_25_-	0	0
URS0000086E1B_GR_chr10_61430267_61430287_21_-	0	0.5
URS00000D0B93_GR_chr10_61431540_61431556_17_-	0	0
URS0000386F8F_GR_chr10_61431541_61431564_24_-	1.83	0
URS00004AD325_GR_chr10_61431544_61431564_21_-	1.17	0
URS0000357D71_GR_chr10_61431724_61431748_25_-	1	3
URS00005CDE9A_GR_chr10_61431855_61431881_27_-	0	0
URS00004D4F84_GR_chr10_61433067_61433092_26_-	1	1
URS0000182C23_GR_chr10_61433289_61433314_26_-	1	0
URS000016ED46_GR_chr10_61433370_61433387_18_-	0	1
URS0000403A0F_GR_chr10_61433761_61433787_27_-	0	0
URS00005D1CD5_GR_chr10_61460038_61460110_73_-	0	0
URS0000133F3E_GR_chr10_61521025_61521106_82_+	0.09	0
URS00005E763E_GR_chr10_61556048_61556066_19_+	0	0
URS000011A671_GR_chr10_61556049_61556069_21_+	0	0
URS0000505F4F_GR_chr10_61559969_61559993_25_+	0	0
URS00006B5766_GR_chr10_61588479_61588564_86_+	0	0
URS0000316710_GR_chr10_61597720_61597797_78_+	0	0
URS0000073ED7_GR_chr10_61601214_61601286_73_+	0.04	0
URS00003BD195_GR_chr10_61657415_61657487_73_-	0	0
URS000003C768_GR_chr10_61700785_61700858_74_-	0	0
URS000021FB76_GR_chr10_61718626_61718697_72_+	0	0
URS000038E0F9_GR_chr10_61727541_61727612_72_-	0	0
URS0000108E59_GR_chr10_61731312_61731385_74_-	0	0
URS0000209A43_GR_chr10_61733487_61733558_72_-	0	0
URS000007F350_GR_chr10_61754472_61754546_75_-	0	0
URS000075DCD2_GR_chr10_61774737_61774821_85_+	0.95	1
URS0000335F61_GR_chr10_61774795_61774813_19_+	0.5	0
URS0000376CA5_GR_chr10_61779249_61779320_72_-	0	0
URS0000158DA0_GR_chr10_61835312_61835382_71_-	0.12	0.07
URS00005D0F1D_GR_chr10_62084819_62084889_71_+	0	0
URS00006637AA_GR_chr10_62141404_62141474_71_-	0	0
URS00000425DF_GR_chr10_62153652_62153724_73_-	0	0
URS00000A7D49_GR_chr10_62161684_62161756_73_+	0.03	0
URS00000AB2D9_GR_chr10_62185975_62186049_75_-	0	0
URS000075F0D0_GR_chr10_62194167_62194190_24_-	0	0
URS000075CF8B_GR_chr10_62194167_62194227_61_-	0	0
URS000075B03D_GR_chr10_62194206_62194227_22_-	0	0
URS0000083B08_GR_chr10_62272476_62272548_73_-	0	0
URS000032BFD5_GR_chr10_62285286_62285322_37_+	0	0
URS000055B2DD_GR_chr10_62385058_62385130_73_+	0	0
URS00003D842A_GR_chr10_62389917_62389989_73_-	0	0
URS00001DF3EA_GR_chr10_62391124_62391196_73_-	0	0
URS0000498968_GR_chr10_62410201_62410228_28_+	0.15	0.03
URS00002CA211_GR_chr10_62413997_62414066_70_+	0	0
mmu_piR_000598_DQ540911	0	0
URS0000027973_GR_chr10_62489570_62489641_72_-	0.03	0.03
mmu_piR_025079_DQ708241	0	0
mmu_piR_016510_DQ695689	0	0
mmu_piR_036349_DQ724575	0	0
URS000056B5A4_GR_chr10_62523270_62523342_73_+	0	0
URS00000B14F5_GR_chr10_62535527_62535597_71_-	0	0
URS000061D720_GR_chr10_62563544_62563612_69_+	0.04	0
URS0000263DC9_GR_chr10_62564119_62564191_73_-	0	0
URS000021027A_GR_chr10_62566660_62566732_73_-	0	0
URS0000275BA8_GR_chr10_62604326_62604400_75_+	0	0
URS000061D132_GR_chr10_62607536_62607566_31_+	0	0
URS00002EE69C_GR_chr10_62642595_62642659_65_+	1	4
mmu_piR_017412_DQ697006	0	0
URS00004CD4E6_GR_chr10_62654709_62654737_29_+	0	0
mmu_piR_005037_DQ554891	0	0
URS000038054B_GR_chr10_62654711_62654737_27_+	0	0
mmu_piR_035962_DQ724025	0	0
mmu_piR_025997_DQ709565	0	0
mmu_piR_023839_DQ706462	0	0
URS000061B174_GR_chr10_62657227_62657255_29_+	0	0
mmu_piR_037380_DQ726055	0	0
URS00005B152E_GR_chr10_62657489_62657517_29_+	0	0
mmu_piR_031728_DQ717780	0	0
URS00002B229A_GR_chr10_62658072_62658100_29_+	0	0.01
URS0000058557_GR_chr10_62658074_62658101_28_+	0	0.01
mmu_piR_004822_DQ554143	0	0.01
mmu_piR_020627_DQ701768	0	0
mmu_piR_036926_DQ725394	0.02	0
mmu_piR_000280_DQ540204	0.02	0
URS00002C8EBB_GR_chr10_62658762_62658797_36_-	0	0
URS0000419E55_GR_chr10_62658763_62658797_35_-	0	0
mmu_piR_006000_DQ558006	0	0
URS000025EE8B_GR_chr10_62659101_62659129_29_+	0	0
URS0000225600_GR_chr10_62659101_62659130_30_+	0	0
mmu_piR_019726_DQ700428	0	0
mmu_piR_021991_DQ703736	0	0
mmu_piR_013846_DQ691737	0	0
mmu_piR_013147_DQ690697	0	0
mmu_piR_002558_DQ546904	0	0
URS00003066FB_GR_chr10_62660018_62660043_26_+	0	0
mmu_piR_014559_DQ692806	0	0
mmu_piR_031990_DQ718143	0.5	0
URS0000563010_GR_chr10_62660188_62660217_30_+	0	0
mmu_piR_018712_DQ698946	0	0
mmu_piR_002399_DQ546403	0	0
URS00002A4ADC_GR_chr10_62660434_62660458_25_+	0	0
mmu_piR_030205_DQ715638	0	0
mmu_piR_016220_DQ695251	0	0
mmu_piR_026436_DQ710225	0	0
mmu_piR_017786_DQ697569	0	0
URS000002D039_GR_chr10_62661259_62661284_26_+	0	0
mmu_piR_014897_DQ693309	0	0
mmu_piR_026669_DQ710550	0.05	0
mmu_piR_016644_DQ695889	0	0
URS00003A2C11_GR_chr10_62661324_62661353_30_+	0	0
mmu_piR_020023_DQ700884	0	0
mmu_piR_006551_DQ561395	0	0
URS00003A36BF_GR_chr10_62661409_62661434_26_+	0	0
mmu_piR_030088_DQ715465	0	0
mmu_piR_033725_DQ720749	0.11	0
mmu_piR_027194_DQ711311	0	0
mmu_piR_009699_DQ685334	0	0.25
URS0000287A61_GR_chr10_62661773_62661799_27_+	0	0
URS000031AAD3_GR_chr10_62661810_62661835_26_+	0	0
mmu_piR_028224_DQ712795	0	0
URS00002F11A8_GR_chr10_62662259_62662287_29_+	0	0
URS0000618DC0_GR_chr10_62662350_62662378_29_+	0	0
mmu_piR_017402_DQ696992	0	0
mmu_piR_037199_DQ725785	0	0
mmu_piR_031944_DQ718076	0	0
URS0000525313_GR_chr10_62662892_62662920_29_+	0	0
mmu_piR_025574_DQ708949	0	0.1
mmu_piR_031123_DQ716922	0	0
URS000055D3E0_GR_chr10_62663142_62663170_29_+	0	0
URS00000DD00F_GR_chr10_62663144_62663169_26_+	0	0
mmu_piR_030901_DQ716613	0	0
URS000056D138_GR_chr10_62663199_62663224_26_+	0	0
mmu_piR_025767_DQ709236	0	0
URS0000018CDE_GR_chr10_62663216_62663243_28_+	0	0
mmu_piR_017179_DQ696668	0	0
mmu_piR_001659_DQ544101	0	0
URS00004FA820_GR_chr10_62663221_62663248_28_+	0	0
URS00004F9D7F_GR_chr10_62663221_62663249_29_+	0	0
URS000019EA41_GR_chr10_62663221_62663250_30_+	0	0
URS0000106CF5_GR_chr10_62663221_62663251_31_+	0	0
mmu_piR_007807_DQ565219	0	0
mmu_piR_000221_DQ540078	0	0
mmu_piR_021547_DQ703071	0	0
mmu_piR_013730_DQ691577	0	0
URS00001C6507_GR_chr10_62663262_62663289_28_+	0	0
URS0000621CF9_GR_chr10_62663262_62663290_29_+	0	0
mmu_piR_025871_DQ709384	0	0
URS00001CA366_GR_chr10_62663265_62663291_27_+	0	0
URS000025E1B8_GR_chr10_62663265_62663293_29_+	0	0
mmu_piR_037158_DQ725724	0	0
URS00004E88D8_GR_chr10_62663270_62663299_30_+	0	0
mmu_piR_017003_DQ696405	0	0
mmu_piR_026797_DQ710743	0	0
URS00005F4227_GR_chr10_62663465_62663492_28_+	0	0
URS00000930F9_GR_chr10_62663470_62663499_30_+	0	0
mmu_piR_008042_DQ566004	0	0
mmu_piR_033638_DQ720624	0	0
mmu_piR_006922_DQ562303	0	0
URS00002683EE_GR_chr10_62663547_62663577_31_+	0	0
URS00001BA62C_GR_chr10_62663549_62663578_30_+	0	0
URS000005DC44_GR_chr10_62663590_62663617_28_+	0	0
mmu_piR_035939_DQ723990	0	0
URS000030A00D_GR_chr10_62663592_62663618_27_+	0	0
mmu_piR_001063_DQ542259	0	0
URS00001DBDCA_GR_chr10_62663632_62663658_27_+	0	0
mmu_piR_036747_DQ725127	0	0
URS00003A4B35_GR_chr10_62663635_62663663_29_+	0	0
mmu_piR_030367_DQ715870	0	0
mmu_piR_011891_DQ688730	0	0
URS00004717FD_GR_chr10_62663777_62663803_27_+	0	0
URS0000595840_GR_chr10_62663777_62663806_30_+	0	0
mmu_piR_036043_DQ724147	0	0
mmu_piR_011815_DQ688617	0	0
URS000055BC68_GR_chr10_62663790_62663818_29_+	0	0
mmu_piR_017072_DQ696508	0	0
URS00002BADFE_GR_chr10_62663814_62663842_29_+	0	0
mmu_piR_007258_DQ563319	0	0
URS00002AD99E_GR_chr10_62663826_62663854_29_+	0	0
mmu_piR_029343_DQ714420	0	0
URS00000B0673_GR_chr10_62663858_62663884_27_+	0	0
URS000060B0FD_GR_chr10_62663858_62663887_30_+	0	0
mmu_piR_037251_DQ725860	0	0
mmu_piR_020052_DQ700922	0	0
mmu_piR_005727_DQ557206	0	0
URS0000555BBE_GR_chr10_62664005_62664032_28_+	0	0
mmu_piR_024314_DQ707139	0	0
mmu_piR_019768_DQ700482	0	0.05
mmu_piR_019047_DQ699429	0	0
mmu_piR_032542_DQ718959	0	0
URS00003EE30B_GR_chr10_62664284_62664309_26_+	0	0
mmu_piR_019675_DQ700351	0	0
mmu_piR_006511_DQ561291	0	0
mmu_piR_029183_DQ714187	0	0
mmu_piR_017718_DQ697464	0	0
mmu_piR_025823_DQ709315	0	0
URS000005DA38_GR_chr10_62664408_62664436_29_+	0	0
mmu_piR_005098_DQ555066	0	0
mmu_piR_009252_DQ569775	0	0
URS00000BAD29_GR_chr10_62664448_62664476_29_+	0	0
mmu_piR_004884_DQ554303	0	0
mmu_piR_001035_DQ542145	0	0
URS00004F86B1_GR_chr10_62664485_62664509_25_+	0	0
URS0000480036_GR_chr10_62664485_62664510_26_+	0	0
URS0000596DEE_GR_chr10_62664485_62664512_28_+	0	0
mmu_piR_024422_DQ707295	0	0
mmu_piR_001885_DQ544647	0	0
mmu_piR_033376_DQ720238	0	0
URS000050384C_GR_chr10_62664610_62664636_27_+	0	0.12
mmu_piR_016758_DQ696053	0	0
mmu_piR_016149_DQ695155	0	0
mmu_piR_028811_DQ713625	0	0
URS00004FB3EB_GR_chr10_62664684_62664712_29_+	0	0
URS00000E4C21_GR_chr10_62664684_62664713_30_+	0	0
mmu_piR_019760_DQ700471	0	0
mmu_piR_010253_DQ686206	0	0
mmu_piR_003730_DQ550654	0	0
mmu_piR_028287_DQ712884	0	0
URS00003196A8_GR_chr10_62664697_62664725_29_+	0	0
mmu_piR_030172_DQ715589	0	0
URS0000346B87_GR_chr10_62664710_62664737_28_+	0	0
URS0000609A38_GR_chr10_62664710_62664738_29_+	0	0
mmu_piR_014950_DQ693387	0	0
mmu_piR_035771_DQ723740	0	0
URS00004A4D12_GR_chr10_62664723_62664751_29_+	0	0
mmu_piR_009245_DQ569758	0	0
URS0000542BCE_GR_chr10_62664732_62664759_28_+	0	0
mmu_piR_033823_DQ720901	0	0
mmu_piR_016503_DQ695680	0	0
URS000059770D_GR_chr10_62664765_62664792_28_+	0	0
URS00005C2577_GR_chr10_62664765_62664793_29_+	0	0
URS0000271371_GR_chr10_62664767_62664791_25_+	0	0
URS00005F5C11_GR_chr10_62664767_62664793_27_+	0	0
mmu_piR_007228_DQ563224	0	0
mmu_piR_010085_DQ685963	0	0
URS00002B8F5C_GR_chr10_62664842_62664868_27_+	0	0
mmu_piR_004583_DQ553460	0	0
mmu_piR_009030_DQ569186	0	0
URS00001BFAA9_GR_chr10_62664960_62664986_27_+	0	0
mmu_piR_002910_DQ548018	0	0
URS00000F12A3_GR_chr10_62664963_62664992_30_+	0	0
mmu_piR_021531_DQ703052	0	0
mmu_piR_007799_DQ565194	0	0
URS0000230E35_GR_chr10_62665057_62665081_25_+	0	0
mmu_piR_012152_DQ689157	0	0
URS000034DA48_GR_chr10_62665109_62665135_27_+	0	0
mmu_piR_031414_DQ717338	0	0
mmu_piR_014562_DQ692810	0	0
URS000019D394_GR_chr10_62665231_62665260_30_+	0	0
URS0000598600_GR_chr10_62665231_62665261_31_+	0	0
mmu_piR_014384_DQ692548	0	0
URS0000302F56_GR_chr10_62665249_62665276_28_+	0	0
mmu_piR_001782_DQ544396	0	0
URS00004B0005_GR_chr10_62665249_62665278_30_+	0	0
URS0000024944_GR_chr10_62665251_62665279_29_+	0	0
mmu_piR_002164_DQ545509	0	0
URS0000392833_GR_chr10_62665266_62665290_25_+	0	0
mmu_piR_006826_DQ562052	0	0
URS000048C848_GR_chr10_62665267_62665289_23_+	0	0
URS00001AC5CE_GR_chr10_62665267_62665295_29_+	0	0
URS0000234996_GR_chr10_62665267_62665296_30_+	0	0
mmu_piR_004570_DQ553415	0	0
URS000045EC12_GR_chr10_62665271_62665297_27_+	0	0
mmu_piR_017226_DQ696746	0	0
URS0000552C62_GR_chr10_62665271_62665300_30_+	0	0
URS00006080C0_GR_chr10_62665274_62665299_26_+	0	0
URS00001779CA_GR_chr10_62665274_62665301_28_+	0	0
mmu_piR_002856_DQ547859	0	0
URS0000041E68_GR_chr10_62665294_62665322_29_+	0	0
mmu_piR_024444_DQ707327	0	0
URS000002B13F_GR_chr10_62665326_62665353_28_+	0	0
mmu_piR_028300_DQ712901	0	0
mmu_piR_021527_DQ703047	0	0
URS000020D879_GR_chr10_62665482_62665510_29_+	0	0
mmu_piR_001308_DQ542982	0	0
mmu_piR_004061_DQ551513	0	0
mmu_piR_010582_DQ686744	0	0
URS0000272BE2_GR_chr10_62665584_62665613_30_+	0	0
mmu_piR_017008_DQ696413	0	0
URS00003D505C_GR_chr10_62665591_62665619_29_+	0	0
mmu_piR_027389_DQ711593	0	0
URS00000B719B_GR_chr10_62665592_62665620_29_+	0	0
URS0000282581_GR_chr10_62665602_62665627_26_+	0	0
mmu_piR_003050_DQ548476	0	0
mmu_piR_030686_DQ716306	0	0
URS000051C5D1_GR_chr10_62666023_62666047_25_+	0	0
mmu_piR_015361_DQ693976	0	0
mmu_piR_005606_DQ556872	0	0
mmu_piR_033817_DQ720893	0	0
mmu_piR_031088_DQ716875	0	0
URS000033441A_GR_chr10_62666375_62666401_27_+	0	0
URS00005F8610_GR_chr10_62666377_62666405_29_+	0	0
URS0000610576_GR_chr10_62666439_62666465_27_+	0	0
mmu_piR_012041_DQ688979	0	0
URS000026A0F6_GR_chr10_62666506_62666534_29_+	0	0
mmu_piR_036109_DQ724238	0	0
mmu_piR_034480_DQ721845	1	0
mmu_piR_034384_DQ721705	0	0
mmu_piR_006373_DQ560987	0	0
mmu_piR_020511_DQ701591	0	0
mmu_piR_025490_DQ708831	0	0
mmu_piR_018041_DQ697917	0	0
mmu_piR_030358_DQ715858	0	0
mmu_piR_021064_DQ702387	0	0
mmu_piR_015679_DQ694454	0	0
URS000043AD40_GR_chr10_62669490_62669517_28_+	0	0
mmu_piR_007153_DQ562923	0	0
mmu_piR_020338_DQ701353	0	0
mmu_piR_001354_DQ543203	0	0
mmu_piR_010193_DQ686116	0	0
mmu_piR_003665_DQ550520	0	0
mmu_piR_008278_DQ566896	0	0
mmu_piR_024293_DQ707113	0	0
URS000009AE29_GR_chr10_62675410_62675435_26_+	0	0
mmu_piR_025353_DQ708629	0	0
mmu_piR_005243_DQ555586	0	0
mmu_piR_024015_DQ706715	0	0
URS00001E90CE_GR_chr10_62677627_62677655_29_+	0	0
mmu_piR_026544_DQ710381	0	0
mmu_piR_000575_DQ540845	0	0
URS00000F7902_GR_chr10_62678393_62678418_26_+	0	0
URS0000419087_GR_chr10_62678393_62678421_29_+	0	0
mmu_piR_021981_DQ703721	0	0
mmu_piR_033562_DQ720512	0	0
mmu_piR_024043_DQ706757	0	0
URS0000491D6C_GR_chr10_62678432_62678458_27_+	0	0
URS00003AA407_GR_chr10_62678432_62678459_28_+	0	0
mmu_piR_036132_DQ724269	0	0
URS00003E62BD_GR_chr10_62678483_62678511_29_+	0	0
mmu_piR_026599_DQ710459	0	0
URS00002561A0_GR_chr10_62678515_62678543_29_+	0	0
mmu_piR_035539_DQ723381	0	0
URS00003AEBE8_GR_chr10_62678533_62678558_26_+	0	0
mmu_piR_020464_DQ701526	0	0
mmu_piR_013413_DQ691092	0	0
mmu_piR_027256_DQ711404	0	0
mmu_piR_010649_DQ686849	0	0
mmu_piR_020964_DQ702250	0	0
URS000029EE85_GR_chr10_62678678_62678703_26_+	0	0
URS000006EB2F_GR_chr10_62678678_62678705_28_+	0	0
mmu_piR_029629_DQ714812	0	0
mmu_piR_027418_DQ711641	0	0
URS0000389DE4_GR_chr10_62678709_62678738_30_+	0	0
mmu_piR_035210_DQ722919	0	0
mmu_piR_036613_DQ724941	0	0
URS000009F632_GR_chr10_62678725_62678750_26_+	0	0
mmu_piR_034528_DQ721912	0	0
mmu_piR_014927_DQ693348	0	0
mmu_piR_038223_DQ727275	0	0
mmu_piR_003420_DQ549809	0	0
mmu_piR_037689_DQ726494	0	0
URS00004D1AC8_GR_chr10_62679495_62679522_28_+	0	0
mmu_piR_025979_DQ709534	0	0
mmu_piR_034016_DQ721174	0	0
mmu_piR_032816_DQ719362	0	0
mmu_piR_031671_DQ717710	0	0
mmu_piR_012307_DQ689402	0	0
mmu_piR_023426_DQ705838	0	0
mmu_piR_026098_DQ709722	0	0
mmu_piR_037736_DQ726554	0	0
mmu_piR_022413_DQ704387	0	0
mmu_piR_012806_DQ690163	0	0
mmu_piR_016028_DQ694974	0	0
mmu_piR_012153_DQ689158	0	0
mmu_piR_034640_DQ722070	0	0
URS00003F56C0_GR_chr10_62679964_62679991_28_+	0	0
URS00002A51A8_GR_chr10_62679964_62679992_29_+	0	0
mmu_piR_010733_DQ686978	0	0
mmu_piR_034175_DQ721399	0	0
URS0000117077_GR_chr10_62680000_62680027_28_+	0	0
mmu_piR_030600_DQ716187	0	0
mmu_piR_001599_DQ543784	0.02	0
URS000043076D_GR_chr10_62680228_62680256_29_+	0	0
URS0000356736_GR_chr10_62680228_62680257_30_+	0	0
mmu_piR_011212_DQ687700	0	0
mmu_piR_026685_DQ710571	0	0
URS00005E477C_GR_chr10_62680371_62680400_30_+	0	0
mmu_piR_025120_DQ708297	0	0
URS0000194A49_GR_chr10_62680441_62680468_28_+	0	0
URS000053CFBD_GR_chr10_62680443_62680467_25_+	0	0
URS00005CC6C4_GR_chr10_62680443_62680468_26_+	0	0
mmu_piR_022991_DQ705200	0	0
URS000032DA98_GR_chr10_62680497_62680523_27_+	0	0
mmu_piR_024465_DQ707356	0	0
URS00005A113C_GR_chr10_62680500_62680525_26_+	0	0
mmu_piR_021579_DQ703128	0	0
mmu_piR_001018_DQ542105	0	0
mmu_piR_033035_DQ719703	0	0
URS00001A0906_GR_chr10_62680663_62680692_30_+	0	0
mmu_piR_002428_DQ546530	0	0
URS0000217735_GR_chr10_62680665_62680693_29_+	0	0
URS000036EA78_GR_chr10_62680666_62680693_28_+	0	0
mmu_piR_000507_DQ540707	0	0
URS0000150E23_GR_chr10_62680667_62680691_25_+	0	0
URS00004CF7C5_GR_chr10_62680671_62680698_28_+	0	0
mmu_piR_006179_DQ558458	0	0
mmu_piR_006709_DQ561802	0	0
URS000012C537_GR_chr10_62680675_62680700_26_+	0	0
URS00006002F2_GR_chr10_62680675_62680703_29_+	0	0
URS00001AD195_GR_chr10_62680675_62680704_30_+	0	0
mmu_piR_003102_DQ548695	0	0
URS00002B0632_GR_chr10_62680706_62680733_28_+	0	0
mmu_piR_030620_DQ716212	0	0
mmu_piR_036385_DQ724625	0	0
mmu_piR_010363_DQ686394	0	0
mmu_piR_023476_DQ705904	0	0
mmu_piR_036743_DQ725121	0	0
mmu_piR_029428_DQ714530	0	0
mmu_piR_013368_DQ691019	0	0
URS00000DF3CC_GR_chr10_62680873_62680898_26_+	0	0
URS0000348CE8_GR_chr10_62680873_62680902_30_+	0	0
mmu_piR_011220_DQ687716	0	0
URS000001F4F0_GR_chr10_62680875_62680904_30_+	0	0
mmu_piR_018500_DQ698648	0	0
