smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
URS0000EFD841_GR_chr12_57824619_57824679_61_-	-0.809118312	0.006854151	0.025437384	-0.885314869	0.002496628	0.013132552	precursor_RNA
URS000075C1BF_GR_chr12_57824609_57824692_84_-	-0.809127039	0.006860472	0.025437384	NA	NA	NA	precursor_RNA
URS000023C301_GR_chr3_37969404_37969480_77_+	-0.807137366	0.006910823	0.025437384	NA	NA	NA	precursor_RNA
URS000068669B_GR_chr3_37969405_37969478_74_+	-0.807137366	0.006910823	0.025437384	NA	NA	NA	precursor_RNA
URS00006F3F92_GR_chr3_37969406_37969479_74_-	-0.807137366	0.006910823	0.025437384	NA	NA	NA	precursor_RNA
URS0000EFEBDE_GR_chr3_37969412_37969473_62_+	-0.807137366	0.006910823	0.025437384	-1.488454061	0.027899098	0.070332754	precursor_RNA
URS00004D9E92_GR_chr14_58239895_58239967_73_-	1.111371121	0.006988507	0.02566603	1.034593897	0.091718496	0.17602876	tRNA
URS000020D84A_GR_chr4_20528299_20528319_21_+	-1.273929829	0.007095989	0.026002858	NA	NA	NA	miRNA
URS00000B7E30_GR_chrX_66018937_66018958_22_+	-1.111780252	0.007178448	0.026246698	NA	NA	NA	miRNA
URS000070B37B_GR_chr11_59550629_59550701_73_-	1.511173218	0.007251077	0.026438224	1.625717153	0.008783094	0.031343589	tRNA
URS00005C2E31_GR_chr3_49020672_49020694_23_-	1.099798324	0.007262896	0.026438224	NA	NA	NA	miRNA
URS0000346F1C_GR_chr12_6963703_6963724_22_+	1.246595048	0.007287108	0.026467931	NA	NA	NA	miRNA
hsa_piR_020499_DQ598183	2.478433356	0.007403076	0.026699757	NA	NA	NA	piRNA
URS00005B985B_GR_chr19_49490907_49490972_66_+	1.271190882	0.007407932	0.026699757	1.073744356	0.016721325	0.049403914	snoRNA
URS000045049D_GR_chr6_27235509_27235581_73_+	1.30305958	0.007435065	0.026699757	NA	NA	NA	tRNA
URS000075BB92_GR_chr17_28861533_28861618_86_-	-2.474204513	0.007443605	0.026699757	NA	NA	NA	precursor_RNA
URS00006283BD_GR_chr19_49490904_49490974_71_+	1.270140102	0.007460749	0.026699757	NA	NA	NA	snoRNA
URS00006844E6_GR_chr17_28861534_28861618_85_-	-2.47385524	0.007464274	0.026699757	NA	NA	NA	precursor_RNA
URS0000EFE964_GR_chr17_28861547_28861604_58_-	-2.47385524	0.007464274	0.026699757	-3.072268723	0.025768387	0.066607471	precursor_RNA
URS00019EB608_GR_chrM_5829_5891_63_-	1.094589312	0.007484017	0.026712434	NA	NA	NA	tRNA
URS00001ACC43_GR_chrM_5827_5892_66_-	1.095956237	0.007518974	0.026760017	NA	NA	NA	tRNA
URS00002E6CEB_GR_chrM_5827_5891_65_-	1.095707012	0.007529805	0.026760017	NA	NA	NA	tRNA
URS000019B0F7_GR_chr12_57824658_57824679_22_-	-0.80761893	0.007716964	0.027366181	NA	NA	NA	miRNA
URS00003DDE27_GR_chr12_95308480_95308500_21_+	1.034492276	0.007748572	0.027419305	1.142154574	0.004848282	0.020473545	miRNA
URS000064D54F_GR_chr10_5853711_5853783_73_-	1.583748365	0.007788057	0.027483459	NA	NA	NA	tRNA
URS0000EFBAC2_GR_chr12_95308444_95308500_57_+	1.028248291	0.007800036	0.027483459	NA	NA	NA	precursor_RNA
URS00000D9842_GR_chr12_53991762_53991782_21_+	2.265870073	0.007887935	0.027733913	NA	NA	NA	miRNA
URS00002FDE5F_GR_chr2_216499269_216499295_27_+	1.421858049	0.007911822	0.027758712	NA	NA	NA	piRNA
URS000014E598_GR_chr19_45478601_45478687_87_-	1.348762686	0.007934001	0.027777425	1.252065451	0.016304761	0.048787286	tRNA
URS000059D2BF_GR_chr1_144567515_144567588_74_-	1.220523244	0.008078123	0.028222086	NA	NA	NA	tRNA
URS000004F117_GR_chr17_28861582_28861604_23_-	-2.477204626	0.008216571	0.028645085	NA	NA	NA	miRNA
URS00002E92A8_GR_chr17_28861583_28861604_22_-	-2.474527543	0.008288834	0.028836049	NA	NA	NA	miRNA
URS000062F4C6_GR_chr15_66501250_66501318_69_-	1.079661667	0.008455279	0.029353168	1.036152982	0.011444617	0.038009495	snoRNA
URS000061547A_GR_chr18_80013036_80013065_30_+	1.508810752	0.008496048	0.029432737	NA	NA	NA	misc_RNA
URS00003DDA12_GR_chr15_66501252_66501318_67_-	1.072627013	0.008592848	0.029705673	NA	NA	NA	snoRNA
URS0000642F53_GR_chr12_95308420_95308513_94_+	0.997834229	0.008850678	0.030532988	0.590059867	0.113086598	0.202576387	precursor_RNA
URS0000222FD2_GR_chr17_8186358_8186429_72_+	1.069663368	0.008917352	0.03069121	NA	NA	NA	tRNA
hsa_piR_009265_DQ582536	1.027726457	0.008933766	0.03069121	0.500317174	0.225432628	0.338578259	piRNA
URS000062539F_GR_chr5_86620506_86620568_63_+	1.025477542	0.008984979	0.030776147	NA	NA	NA	snoRNA
URS0000CA664E_GR_chr7_139044101_139044124_24_-	1.158771728	0.009015174	0.030776147	1.015515852	0.027901236	0.070332754	miRNA
URS00004DCDD7_GR_chr11_66348120_66348151_32_+	1.14751438	0.009030073	0.030776147	NA	NA	NA	piRNA
URS00004DAA7C_GR_chr7_100093815_100093836_22_-	1.078998408	0.009040543	0.030776147	NA	NA	NA	miRNA
URS00000173B3_GR_chr11_66348120_66348150_31_+	1.146948553	0.009051808	0.030776147	NA	NA	NA	piRNA
URS000075C2C2_GR_chr5_86620497_86620575_79_+	1.021210894	0.009186424	0.031169574	NA	NA	NA	precursor_RNA
URS0000679FAF_GR_chr18_46089305_46089377_73_-	1.104149126	0.00940163	0.031771754	NA	NA	NA	tRNA
URS000030BAD5_GR_chr1_153671250_153671321_72_+	1.054388121	0.009402435	0.031771754	0.989855118	0.01291285	0.041521885	tRNA
URS00004DC6A5_GR_chr1_40754413_40754434_22_+	-0.953997344	0.009528001	0.0321	-0.841868864	0.014614193	0.045234408	miRNA
URS0000762794_GR_chr1_630996_631059_64_-	0.985715717	0.009538508	0.0321	NA	NA	NA	tRNA
URS000041798D_GR_chr21_8218915_8218940_26_+	1.527959441	0.009599777	0.03224039	1.411020696	0.014466302	0.045234408	misc_RNA
URS0000021028_GR_chr5_94569467_94569535_69_-	1.142262511	0.009674882	0.032360813	NA	NA	NA	tRNA
URS00000C4980_GR_chr5_94569467_94569535_69_+	1.142262511	0.009674882	0.032360813	NA	NA	NA	tRNA
URS0000EFEB8F_GR_chr12_53991761_53991820_60_+	2.039446681	0.009757153	0.032507741	1.582617338	0.053333015	0.117963821	precursor_RNA
URS0000625942_GR_chr12_53991744_53991834_91_+	2.039696852	0.009763836	0.032507741	NA	NA	NA	precursor_RNA
URS00007E4955_GR_chr12_53991762_53991784_23_+	2.041202572	0.00977795	0.032507741	2.092355608	0.008550116	0.030637556	miRNA
URS00002C37BE_GR_chr5_181241818_181241889_72_-	1.090007744	0.009915041	0.032897187	1.344102509	0.006719829	0.026519035	snoRNA
URS00005372AE_GR_chr17_38867645_38867673_29_+	2.448617826	0.010045175	0.033262034	NA	NA	NA	piRNA
hsa_piR_020391_DQ598016	3.502439075	0.010095751	0.033362512	NA	NA	NA	piRNA
URS00002BBF17_GR_chr12_6963743_6963763_21_+	1.272960625	0.01012615	0.033396043	NA	NA	NA	miRNA
URS00004CF38D_GR_chrM_14674_14747_74_-	1.137967992	0.010331191	0.034004258	NA	NA	NA	tRNA
URS00004B251C_GR_chr11_66348120_66348149_30_+	1.1154256	0.010629093	0.034915088	NA	NA	NA	piRNA
URS0000740D26_GR_chr3_49020200_49020221_22_-	1.168689805	0.010663518	0.034958531	NA	NA	NA	miRNA
URS00003B08B2_GR_chr17_16440036_16440106_71_+	1.158526325	0.010784574	0.035285242	0.873572495	0.087882913	0.170519085	snoRNA
URS000029979D_GR_chr3_52268280_52268300_21_-	1.464151666	0.01083139	0.035368241	1.517206509	0.013554479	0.043141849	miRNA
URS00006DFE33_GR_chr14_100966029_100966100_72_+	-2.076776174	0.01087696	0.035446852	-2.073642393	0.004366636	0.019478623	snoRNA
URS000075F03E_GR_chr14_100966029_100966099_71_+	-2.076141757	0.010907416	0.035475994	NA	NA	NA	snoRNA
URS00003034E3_GR_chr13_27255066_27255135_70_+	0.931607177	0.011107124	0.036014355	0.908717353	0.007651982	0.028579207	snoRNA
URS0000EFC449_GR_chr17_2049928_2049986_59_-	-1.024251631	0.011121394	0.036014355	-1.386186736	0.014441822	0.045234408	precursor_RNA
URS00006645D8_GR_chr17_2049918_2050001_84_-	-1.023782747	0.01113846	0.036014355	-1.291156139	0.006092058	0.024748986	precursor_RNA
URS00000CC06A_GR_chr15_89335073_89335145_73_+	2.177708136	0.011204137	0.036155817	1.970817699	0.025607683	0.066579977	tRNA
URS00005E4552_GR_chr17_38867645_38867672_28_+	1.713198522	0.011396434	0.036704529	NA	NA	NA	piRNA
hsa_piR_020008_DQ597482	1.287995576	0.011466408	0.036857907	1.049026203	0.06505544	0.137356033	piRNA
URS00006F0FC0_GR_chr19_45478602_45478687_86_-	1.31976501	0.011531043	0.036993559	NA	NA	NA	tRNA
URS000002103A_GR_chr10_63373012_63373033_22_-	-1.042920988	0.011855325	0.037960061	NA	NA	NA	miRNA
URS0000225EE1_GR_chr11_59551294_59551379_86_+	1.288823723	0.011953943	0.03820165	4.244130572	3.49E-04	0.003975022	tRNA
URS000030D775_GR_chr1_145157154_145157238_85_+	1.228397386	0.012192552	0.038888816	NA	NA	NA	tRNA
URS00006054DA_GR_chr17_2049929_2049950_22_-	-1.012301044	0.0122541	0.039009672	-0.958163877	0.012889767	0.041521885	miRNA
URS00001A86BB_GR_chr1_145157157_145157229_73_+	1.226829176	0.01228307	0.039026556	NA	NA	NA	tRNA
URS0000446770_GR_chr13_27255064_27255135_72_+	0.907694487	0.012409889	0.039353668	0.491416292	0.295990614	0.41759916	snoRNA
URS0000057FC6_GR_chr5_94569468_94569535_68_+	1.158047696	0.01251111	0.039494225	NA	NA	NA	tRNA
URS00003CB05F_GR_chr5_94569468_94569535_68_-	1.158047696	0.01251111	0.039494225	NA	NA	NA	tRNA
URS0000028D1E_GR_chr5_94569468_94569536_69_-	1.157885095	0.012526064	0.039494225	NA	NA	NA	tRNA
hsa_piR_020496_DQ598175	1.621055216	0.012643024	0.039641425	NA	NA	NA	piRNA
URS000047A6CE_GR_chr1_145157152_145157238_87_+	1.220504436	0.012646986	0.039641425	NA	NA	NA	tRNA
URS00005E8BA6_GR_chrM_5825_5890_66_-	0.995449105	0.012654597	0.039641425	NA	NA	NA	tRNA
URS0000DF35C3_GR_chrM_5826_5890_65_-	0.995364602	0.012668909	0.039641425	NA	NA	NA	tRNA
URS0000402639_GR_chr11_10508898_10508927_30_-	1.232857787	0.01276703	0.039872789	NA	NA	NA	piRNA
URS00003EA950_GR_chrM_5826_5889_64_-	0.993934957	0.012835647	0.040011309	NA	NA	NA	tRNA
URS00003FB727_GR_chr15_65296093_65296128_36_+	0.939168981	0.013219271	0.041129394	0.455059607	0.398913722	0.52293795	misc_RNA
URS000075CA1B_GR_chr10_63372957_63373048_92_-	-1.037005433	0.013421339	0.041601105	NA	NA	NA	precursor_RNA
URS0000EFE44F_GR_chr10_63372968_63373033_66_-	-1.037005433	0.013421339	0.041601105	-1.086826444	0.017666581	0.051859964	precursor_RNA
URS0000EFCA53_GR_chr9_109046231_109046293_63_-	1.025405111	0.013558536	0.041947515	2.133380127	0.108417906	0.196622882	precursor_RNA
URS0000472EB8_GR_chr9_109046229_109046298_70_-	1.031124416	0.013695367	0.042291497	NA	NA	NA	precursor_RNA
URS000049E7BA_GR_chr5_94569466_94569534_69_-	1.035803856	0.013768418	0.042437608	NA	NA	NA	tRNA
URS00004AA2F0_GR_chr5_94569467_94569533_67_-	1.035906913	0.01381782	0.042470078	NA	NA	NA	tRNA
URS0000659544_GR_chr16_3191501_3191573_73_+	1.119501084	0.013830462	0.042470078	NA	NA	NA	tRNA
URS00007E9F11_GR_chr5_94569467_94569531_65_-	1.034561452	0.013874926	0.042527421	NA	NA	NA	tRNA
URS0000803B68_GR_chr5_94569467_94569526_60_-	1.032446543	0.013967191	0.042730793	NA	NA	NA	tRNA
URS00006D4FDA_GR_chr8_56073835_56073901_67_-	1.179985697	0.014045707	0.042891427	1.306278565	0.007918732	0.029412435	snoRNA
URS0000EFE53D_GR_chrX_151959639_151959696_58_-	-1.289060776	0.014225688	0.043360738	NA	NA	NA	precursor_RNA
URS00005B0D1D_GR_chr11_109603197_109603222_26_+	-1.017657873	0.014385073	0.043722921	NA	NA	NA	piRNA
URS000013B42D_GR_chr1_161523847_161523917_71_-	1.196893305	0.014397542	0.043722921	NA	NA	NA	tRNA
URS000083167E_GR_chr1_630916_630981_66_-	0.938769974	0.014464058	0.043844176	0.932814233	0.020645655	0.057807834	tRNA
hsa_piR_016659_DQ592932	1.016843512	0.014644539	0.044309806	2.362417995	3.21E-04	0.003836023	piRNA
URS0000EFDA6A_GR_chr14_104117430_104117490_61_+	1.081969401	0.014742007	0.044523022	NA	NA	NA	precursor_RNA
URS00004DA9DB_GR_chr14_104117469_104117490_22_+	1.080467616	0.014863444	0.044807714	1.265210318	0.008465073	0.030637556	miRNA
URS000012E7F0_GR_chr5_134924054_134924122_69_-	1.453647762	0.01492581	0.044831805	NA	NA	NA	tRNA
URS0000371626_GR_chr5_134924054_134924122_69_+	1.453647762	0.01492581	0.044831805	NA	NA	NA	tRNA
URS00006D7506_GR_chr19_49489965_49490048_84_+	1.435839156	0.014971007	0.044868652	NA	NA	NA	snoRNA
URS00006A82CA_GR_chr15_24985100_24985166_67_+	-0.850561673	0.014992497	0.044868652	-0.909809851	0.01086089	0.036741302	snoRNA
URS000050B350_GR_chr19_49489966_49490047_82_+	1.434691224	0.015020134	0.04486993	1.432580339	0.015391434	0.046882989	snoRNA
URS00004C47FB_GR_chr9_109046272_109046293_22_-	1.003833787	0.015139511	0.045144763	NA	NA	NA	miRNA
URS00005AFD62_GR_chr16_70779036_70779109_74_-	1.193763468	0.015357514	0.045712169	1.262826131	0.00624503	0.025035142	tRNA
URS00006B4735_GR_chr6_145182723_145182794_72_+	0.90184985	0.015506665	0.046042154	NA	NA	NA	tRNA
URS0000804A0D_GR_chr5_94569467_94569525_59_-	1.001630944	0.015524219	0.046042154	NA	NA	NA	tRNA
URS00005A619D_GR_chr11_109603197_109603223_27_+	-1.001203817	0.015628226	0.046267405	NA	NA	NA	piRNA
URS00004BF687_GR_chr1_16545939_16546009_71_-	1.249709478	0.015741269	0.046286817	NA	NA	NA	tRNA
URS00007E8E68_GR_chr5_94569467_94569521_55_-	0.997841732	0.015743517	0.046286817	NA	NA	NA	tRNA
URS00008033CE_GR_chr5_94569467_94569520_54_-	0.997828904	0.015744734	0.046286817	NA	NA	NA	tRNA
URS00007F742E_GR_chr5_94569467_94569517_51_-	0.997801043	0.015747061	0.046286817	NA	NA	NA	tRNA
URS00007F9004_GR_chr5_94569467_94569516_50_-	0.99729609	0.015786757	0.046289967	NA	NA	NA	tRNA
URS0000467AB5_GR_chr19_10107651_10107735_85_+	1.026785656	0.0158185	0.046289967	1.022505117	0.0229282	0.061765188	snoRNA
URS00007EA7AF_GR_chr5_94569467_94569513_47_-	0.99655315	0.015832348	0.046289967	0.874001812	0.09978833	0.184567847	tRNA
URS0000EFBCD6_GR_chr7_100093775_100093837_63_-	0.776972207	0.016133117	0.046968826	0.693449106	0.02331793	0.061863895	precursor_RNA
URS00000DDD35_GR_chr7_100093768_100093847_80_-	0.776932067	0.016137396	0.046968826	NA	NA	NA	precursor_RNA
URS00006526D8_GR_chr7_100093766_100093849_84_-	0.776832901	0.016149985	0.046968826	NA	NA	NA	precursor_RNA
URS0000DF33CF_GR_chrM_5826_5884_59_-	0.963730731	0.016291631	0.047240102	0.800295319	0.039161443	0.092085047	tRNA
URS000065235D_GR_chr5_181241814_181241892_79_-	1.04227916	0.016300557	0.047240102	1.02438807	0.035830365	0.085860529	snoRNA
URS000048BA36_GR_chr3_49020199_49020221_23_-	1.015371207	0.016355486	0.047282588	NA	NA	NA	miRNA
URS000045A9D7_GR_chr3_160404645_160404666_22_+	1.192864367	0.016405727	0.047282588	1.073565056	0.041240204	0.095250218	miRNA
URS000010244B_GR_chr11_1996766_1996787_22_-	-1.188392947	0.016415556	0.047282588	-1.281015245	0.011302413	0.03781322	miRNA
hsa_piR_008488_DQ581533	1.050064743	0.016429911	0.047282588	0.942328232	0.152567652	0.254228102	piRNA
URS00007EC19C_GR_chr5_94569467_94569507_41_-	0.984586963	0.016630152	0.047604891	NA	NA	NA	tRNA
URS00008039FC_GR_chr5_94569467_94569503_37_-	0.985995866	0.016636999	0.047604891	1.017980832	0.092076582	0.17602876	tRNA
URS000071403B_GR_chr20_49278940_49279028_89_+	0.91548625	0.016646683	0.047604891	NA	NA	NA	snoRNA
URS0000807EA6_GR_chr5_94569467_94569506_40_-	0.984219706	0.016657382	0.047604891	NA	NA	NA	tRNA
URS0000801906_GR_chr5_94569467_94569498_32_-	0.979259709	0.01674242	0.047691654	0.988022205	0.016253626	0.048787286	tRNA
URS00006ABCCE_GR_chr16_70788694_70788764_71_+	1.234608911	0.016747925	0.047691654	3.16774456	0.094527212	0.178590264	tRNA
URS0000DE2957_GR_chr11_123003610_123003663_54_+	1.371191917	0.016774505	0.047691654	NA	NA	NA	tRNA
URS0000691556_GR_chr11_1996759_1996831_73_-	-1.185942735	0.016841994	0.047764737	NA	NA	NA	precursor_RNA
URS0000149452_GR_chr7_100093815_100093837_23_-	0.771665993	0.016858142	0.047764737	NA	NA	NA	miRNA
URS00006481F8_GR_chr9_70311607_70311701_95_-	1.040245788	0.01701142	0.048116351	NA	NA	NA	Y_RNA
URS00001D909A_GR_chr16_3150674_3150746_73_+	2.930400513	0.017062325	0.048177695	3.23700885	0.022941355	0.061765188	tRNA
URS0000359B05_GR_chr20_49278945_49279023_79_+	0.910555357	0.017144208	0.048326153	1.007537538	0.007031518	0.026998654	snoRNA
URS00000D02E8_GR_chr17_59841255_59841272_18_+	1.017833258	0.017234451	0.048497629	1.163783399	0.005023711	0.021067174	miRNA
URS0000EFD724_GR_chr11_1996765_1996822_58_-	-1.178194122	0.017275119	0.048529252	NA	NA	NA	precursor_RNA
URS0000434604_GR_chr20_2656624_2656694_71_+	0.966181902	0.017562326	0.049150637	1.187965999	0.006913913	0.026659581	snoRNA
URS00007F86BF_GR_chr5_94569467_94569499_33_-	0.971396594	0.017581294	0.049150637	-1.00161917	0.179585558	0.287210646	tRNA
URS00001B6381_GR_chr11_93733230_93733300_71_-	1.146688505	0.017612948	0.049150637	NA	NA	NA	snoRNA
URS000038803E_GR_chr11_59550987_59551059_73_-	1.529923803	0.01761554	0.049150637	1.672370558	0.013719193	0.043499881	tRNA
URS0000EFCEDB_GR_chr1_1167123_1167182_60_+	0.822091016	0.017780696	0.049527648	NA	NA	NA	precursor_RNA
URS000075C8DF_GR_chr1_1167104_1167198_95_+	0.821775871	0.017853301	0.049587887	NA	NA	NA	precursor_RNA
URS0000650AFF_GR_chr1_1167115_1167188_74_+	0.821660727	0.017862465	0.049587887	0.427663942	0.243151028	0.360036017	precursor_RNA
URS0000324096_GR_chr22_46113691_46113712_22_+	-1.095046518	0.018121723	0.050223062	-1.467304061	0.011268432	0.03781322	miRNA
URS00002B452B_GR_chr1_1167160_1167182_23_+	0.813165333	0.018628775	0.051541695	0.782721578	0.014867953	0.045838861	miRNA
URS0000651282_GR_chr3_186784796_186784864_69_+	0.96654261	0.018734126	0.051746354	NA	NA	NA	snoRNA
URS000075EE47_GR_chr3_49020148_49020234_87_-	0.958134442	0.01886782	0.051879603	NA	NA	NA	precursor_RNA
URS00006521EF_GR_chr12_6963694_6963771_78_+	1.213589801	0.01887449	0.051879603	0.117139824	0.817806733	0.87307645	precursor_RNA
URS0000171525_GR_chr12_6963699_6963766_68_+	1.213566114	0.018876751	0.051879603	1.491913951	0.004859655	0.020473545	precursor_RNA
URS0000EFE042_GR_chr12_6963702_6963764_63_+	1.214198442	0.018912142	0.051889303	NA	NA	NA	precursor_RNA
URS0000694F71_GR_chr11_93733228_93733300_73_-	1.13143138	0.018946292	0.051889303	1.285801831	0.0085443	0.030637556	snoRNA
URS000075E9C3_GR_chr3_186784796_186784865_70_+	0.965805744	0.018974681	0.051889303	1.157243793	0.004541535	0.019869215	snoRNA
hsa_piR_001311_DQ571812	1.132404053	0.019096079	0.052134824	NA	NA	NA	piRNA
URS000075DD93_GR_chr17_41517164_41517217_54_-	-1.699045306	0.019337117	0.052644364	-1.145315834	0.109020133	0.196841907	precursor_RNA
URS000041CB9C_GR_chr3_160404588_160404685_98_+	1.10022445	0.019346564	0.052644364	NA	NA	NA	precursor_RNA
URS0000685300_GR_chr3_160404593_160404678_86_+	1.1001147	0.019422433	0.052734407	1.576689157	0.008997854	0.031736616	precursor_RNA
URS0000192F9C_GR_chr12_6963742_6963764_23_+	1.207925189	0.019443614	0.052734407	1.211585227	0.02134198	0.058852128	miRNA
URS0000EFE533_GR_chr3_160404606_160404666_61_+	1.099210456	0.019583775	0.052821837	0.687648938	0.154337836	0.2558241	precursor_RNA
URS000066C0F7_GR_chr3_49020149_49020233_85_-	0.954325881	0.019596605	0.052821837	NA	NA	NA	precursor_RNA
URS0000EFE94D_GR_chr3_49020158_49020221_64_-	0.954325881	0.019596605	0.052821837	1.003993724	0.011360065	0.037866885	precursor_RNA
hsa_piR_021032_DQ598918	0.800196035	0.019603981	0.052821837	NA	NA	NA	piRNA
URS00003E13C5_GR_chr9_109046273_109046293_21_-	0.959619658	0.019679754	0.052939502	NA	NA	NA	misc_RNA
URS0000527228_GR_chr6_71376964_71376985_22_-	-1.251509569	0.019998944	0.053710519	-1.172945783	0.033890251	0.082460236	miRNA
URS0000EFC4FB_GR_chr22_46113690_46113765_76_+	-1.065771154	0.020183887	0.053945174	-1.002379197	0.022272266	0.060864151	precursor_RNA
URS000075A6A4_GR_chr22_46113686_46113768_83_+	-1.065764232	0.020184222	0.053945174	-0.73944778	0.012750578	0.041291909	precursor_RNA
URS0000631FB7_GR_chr22_46113685_46113769_85_+	-1.06576233	0.020184459	0.053945174	NA	NA	NA	precursor_RNA
URS000009AC8B_GR_chr16_70778211_70778281_71_-	1.13200358	0.020269671	0.053991215	NA	NA	NA	tRNA
URS000075A742_GR_chr3_52690738_52690830_93_+	0.757531675	0.020332653	0.053991215	NA	NA	NA	snoRNA
URS0000698D61_GR_chr3_52690744_52690827_84_+	0.757531675	0.020332653	0.053991215	NA	NA	NA	snoRNA
URS00006A0203_GR_chr3_52690752_52690828_77_+	0.757531675	0.020332653	0.053991215	0.715938494	0.009346098	0.032711344	snoRNA
URS000070F1D2_GR_chr6_28589379_28589450_72_+	0.997931319	0.020389948	0.054056309	NA	NA	NA	tRNA
URS000075CC75_GR_chr17_30117128_30117151_24_-	0.882187363	0.020923759	0.055382471	NA	NA	NA	miRNA
URS000005A7A9_GR_chr16_3152900_3152972_73_+	-0.926820632	0.021090979	0.055735616	3.242110773	2.97E-04	0.003649481	tRNA
URS000072E51D_GR_chr1_173864827_173864908_82_-	1.129253177	0.021428468	0.056467374	NA	NA	NA	snoRNA
URS000064B8EB_GR_chr19_10109757_10109835_79_+	1.319469469	0.021436371	0.056467374	1.271938526	0.035753312	0.085860529	snoRNA
URS0000832FA3_GR_chr1_173864829_173864906_78_-	1.128335752	0.021565498	0.056716916	NA	NA	NA	snoRNA
URS000075D4B1_GR_chr17_41517166_41517186_21_-	-1.666179985	0.021928588	0.057580004	-1.126346015	0.166963573	0.27035027	miRNA
URS000005481D_GR_chr17_7223342_7223364_23_-	1.061358181	0.022089899	0.057911356	NA	NA	NA	miRNA
URS0000315291_GR_chr11_109603197_109603224_28_+	-0.934648012	0.022380836	0.058477396	NA	NA	NA	piRNA
URS00004449AE_GR_chr7_100094043_100094063_21_-	0.831180971	0.022397797	0.058477396	NA	NA	NA	miRNA
URS000012F7C1_GR_chr1_146035693_146035720_28_+	1.263213652	0.022412198	0.058477396	NA	NA	NA	piRNA
URS0000120E41_GR_chr14_20610132_20610213_82_+	1.459818251	0.023197635	0.060431123	1.37734854	0.026205887	0.067175654	tRNA
URS00004B83FE_GR_chr15_55372991_55373012_22_-	0.879699625	0.023304541	0.060613861	NA	NA	NA	miRNA
URS00002D9E2D_GR_chr3_160404607_160404627_21_+	1.029385627	0.023428495	0.060840295	NA	NA	NA	miRNA
URS0000B4F0ED_GR_chr14_16057563_16057624_62_+	1.122750588	0.023509188	0.060953854	-0.024509698	0.952099685	0.961610115	precursor_RNA
URS000075DF1C_GR_chr19_10109749_10109840_92_+	1.29152347	0.023673822	0.061284352	NA	NA	NA	snoRNA
URS00005AFD62_GR_chr1_161523846_161523917_72_-	1.125172863	0.023736645	0.061323029	NA	NA	NA	tRNA
URS000065A213_GR_chr9_74847506_74847601_96_+	0.839788992	0.023763139	0.061323029	NA	NA	NA	Y_RNA
URS000064506B_GR_chr6_28989002_28989083_82_+	1.467948238	0.024223579	0.062413565	2.188781335	0.220816827	0.33518147	tRNA
URS00005AFD62_GR_chr17_8125746_8125819_74_+	1.108187387	0.0243677	0.062686954	0.958443427	0.030563035	0.075372254	tRNA
URS00003D2394_GR_chr5_86620547_86620566_20_+	1.093688923	0.024432981	0.062756986	1.020166448	0.053721232	0.118368817	miRNA
URS0000EFDEA8_GR_chr14_104117470_104117490_21_+	0.898620626	0.024694279	0.063329496	NA	NA	NA	miRNA
URS00003DC32E_GR_chr2_233275727_233275755_29_+	1.224095266	0.024733957	0.063332756	1.332219269	0.010909393	0.036768694	piRNA
URS0000272A3D_GR_chr1_207801865_207801886_22_-	-0.770924694	0.025539745	0.065294634	-0.836472225	0.015402748	0.046882989	miRNA
URS0000D52743_GR_chr10_102436557_102436578_22_+	-0.982640479	0.026325645	0.067187982	-1.039457557	0.020539629	0.057807834	miRNA
URS0000EFC5C7_GR_chr1_207801864_207801922_59_-	-0.765654197	0.02636181	0.067187982	-1.440339459	0.098684579	0.183271361	precursor_RNA
URS000022A78C_GR_chr9_114209487_114209507_21_+	1.775004247	0.026463386	0.067342783	1.848891617	0.019679891	0.056588634	miRNA
URS000050D31F_GR_chr15_55372940_55373034_95_-	0.853382039	0.026989247	0.068491317	NA	NA	NA	precursor_RNA
hsa_piR_015254_DQ590835	1.251028979	0.02699779	0.068491317	NA	NA	NA	piRNA
URS0000EFD359_GR_chr15_55372951_55373012_62_-	0.851018829	0.027290428	0.068941247	0.761740656	0.041106666	0.095183375	precursor_RNA
URS0000315338_GR_chr11_57641252_57641273_22_+	-1.029221645	0.027294554	0.068941247	-0.982103243	0.033122301	0.081024984	miRNA
URS0000640661_GR_chr8_123044717_123044812_96_+	0.79280174	0.027300566	0.068941247	NA	NA	NA	Y_RNA
hsa_piR_000765_DQ570956	1.148143253	0.027399038	0.069084118	NA	NA	NA	piRNA
URS0000065D58_GR_chr6_71403554_71403575_22_-	-1.402812215	0.02762691	0.069552329	-1.306899663	0.036727321	0.087721423	miRNA
hsa_piR_020326_DQ597916	1.146083222	0.027749422	0.069754264	NA	NA	NA	piRNA
URS00002034DC_GR_chr15_40593825_40593906_82_-	0.926453141	0.027811002	0.069802651	NA	NA	NA	tRNA
URS000042E914_GR_chr1_207801864_207801925_62_-	-0.752072741	0.028720508	0.071945482	0.192258545	0.610173278	0.71095734	precursor_RNA
URS00007CCDF8_GR_chr17_7069385_7069401_17_+	0.968655536	0.028764472	0.071945482	NA	NA	NA	tRNA
