sRNA	TCGA-BH-A0BT-01A-11R-A12O-13_mirna_gdc_realn	TCGA-BH-A0BT-11A-21R-A12O-13_mirna_gdc_realn	TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn	TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn	TCGA-BH-A1FC-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FC-11A-32R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-01A-11R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FG-11B-12R-A13P-13_mirna_gdc_realn	TCGA-BH-A1FU-01A-11R-A14C-13_mirna_gdc_realn	TCGA-BH-A1FU-11A-23R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn	TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn	TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn	TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn	TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn	TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn
URS0000568FF8_GR_chr1_68183576_68183597_22_-	0	0	0	0	0	0	0	0	0.5	0.5	0	1.25	0	0	2.5	0	0	2.5
hsa_piR_000912_DQ571160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_017513_DQ594201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009877_DQ583296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018167_DQ595025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00005CA5AC_GR_chr1_69306042_69306073_32_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00002FE02E_GR_chr1_69635141_69635174_34_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000152C3E_GR_chr1_70207789_70207836_48_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000018DB03_GR_chr1_70268202_70268277_76_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_022404_DQ600651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000059EAAC_GR_chr1_71067631_71067716_86_-	151.7	197.91	209.86	253.4	204.3	202.8	94.13	366.94	391.03	173.26	40	807.18	97.84	225.42	262.9	148.46	253.65	342.05
URS0000687CA4_GR_chr1_71067631_71067717_87_-	151.7	197.91	209.86	253.4	204.3	202.8	94.13	366.94	391.03	173.26	40	807.18	97.84	225.42	262.9	148.46	253.65	342.05
URS0000EFF2AC_GR_chr1_71067641_71067702_62_-	151.1	197.51	208.86	252.8	204.3	202.4	93.13	366.14	389.83	172.66	39.8	804.38	97.64	224.62	262.1	148.06	251.65	341.45
URS000021D7C8_GR_chr1_71067642_71067663_22_-	0	0	0.25	0.25	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0.25	0
URS000015CB3A_GR_chr1_71067680_71067702_23_-	148.75	193.31	195.41	239.95	194.45	191.2	84.53	346.29	368.83	165.8	38.8	717.08	92.84	209.97	254.7	143.26	248.8	333.45
URS000040DCFF_GR_chr1_71067681_71067702_22_-	115.95	143.81	122.21	145.75	159.85	108.8	48.53	217.7	248.43	104.4	32.8	506.08	59.84	129.73	191.7	97.22	209.64	244.26
URS00006FE3FE_GR_chr1_71194014_71194079_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000063B0FC_GR_chr1_72203482_72203546_65_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00000FB6F3_GR_chr1_72360223_72360248_26_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016812_DQ593137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009177_DQ582427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000572B33_GR_chr1_73180413_73180443_31_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000016A56E_GR_chr1_73306180_73306209_30_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_005453_DQ577493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0
hsa_piR_020827_DQ598674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014410_DQ589732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_007359_DQ580035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006C228E_GR_chr1_74304024_74304089_66_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018503_DQ595441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00005F2FD6_GR_chr1_74632551_74632572_22_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002031_DQ572720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002032_DQ572721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_010315_DQ583894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000006BBF8_GR_chr1_74877175_74877204_30_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_013792_DQ588842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00005B2945_GR_chr1_75040240_75040273_34_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_010553_DQ584213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_007329_DQ579996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014200_DQ589411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000200F8D_GR_chr1_75382434_75382460_27_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_007491_DQ580215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000068DED7_GR_chr1_75538015_75538112_98_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000051DDC8_GR_chr1_75607811_75607826_16_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_023365_DQ601948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000052733A_GR_chr1_75674247_75674272_26_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016817_DQ593145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
URS0000759A7B_GR_chr1_75787072_75787149_78_+	91.38	47.69	164.14	39.35	89.01	23.63	124.33	39.81	185.39	19.39	66.22	277.2	65.27	130.03	33.96	53.29	141.18	36.65
URS0000668E0B_GR_chr1_75787072_75787150_79_+	91.88	49.94	165.14	39.85	89.01	24.13	124.33	39.81	186.14	19.39	66.22	278.2	66.02	130.28	34.71	53.29	141.9	36.65
URS00008295AD_GR_chr1_75787889_75787971_83_+	107.08	58.73	231.49	157.52	97.6	58.72	278.07	48.99	231.47	83.95	213.35	381.33	110.22	178.46	321.67	59.83	164.48	60.46
URS00000A3335_GR_chr1_75787889_75787972_84_+	107.08	58.73	231.49	157.52	98.1	58.72	278.07	48.99	231.72	83.95	213.35	381.33	110.22	178.96	321.67	60.33	164.98	60.46
URS00002F8E76_GR_chr1_75789477_75789547_71_+	6.08	3.32	12.8	4.75	7.26	1.26	12.39	1.67	0	0	4.17	20.99	2.22	8.64	20.74	6.31	3.98	2.67
URS0000725609_GR_chr1_75789477_75789548_72_+	6.08	3.32	12.8	4.75	7.26	1.26	12.39	1.67	0	0	4.42	20.99	2.22	8.64	20.74	6.31	3.98	2.67
URS000001154E_GR_chr1_76539931_76539961_31_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_021676_DQ599712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000526F4B_GR_chr1_77007762_77007812_51_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000075B2E1_GR_chr1_77060143_77060165_23_+	0	0.5	1.5	0	6	0	0.5	0	0.5	0	0	0.5	0	0	8.5	0	0.5	0
URS000075C1D3_GR_chr1_77060143_77060202_60_+	0	0.5	1.5	0	6	0	0.5	0	0.5	0	0	0.5	0	0	8.5	0	0.5	0
URS000075BA51_GR_chr1_77060180_77060202_23_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_004210_DQ575737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000666FD4_GR_chr1_77420325_77420386_62_+	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0.05	0	0	0	0	0.04	0
hsa_piR_022421_DQ600670	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0
hsa_piR_013622_DQ588592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016427_DQ592378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014419_DQ589745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000725230_GR_chr1_78687060_78687143_84_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0
hsa_piR_019537_DQ596822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00003651E3_GR_chr1_79112781_79112810_30_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006779EB_GR_chr1_79746607_79746672_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016058_DQ591918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000412E3D_GR_chr1_80133284_80133325_42_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001A8435_GR_chr1_80438580_80438632_53_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00004384C7_GR_chr1_80438581_80438632_52_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002951_DQ573963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000175943_GR_chr1_80592318_80592367_50_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00000FD780_GR_chr1_80599785_80599814_30_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000655CDE_GR_chr1_81180789_81180854_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000687C0D_GR_chr1_81320095_81320160_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00009F6A30_GR_chr1_81709190_81709211_22_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
URS00009ECA38_GR_chr1_81709190_81709215_26_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
URS0000A11323_GR_chr1_81709224_81709249_26_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A49D4D_GR_chr1_81709224_81709254_31_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002769_DQ573726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_019607_DQ596908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009391_DQ582692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000071093F_GR_chr1_83019954_83020019_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000060A36F_GR_chr1_83081626_83081698_73_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_008881_DQ582046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000692873_GR_chr1_83176688_83176753_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000015111_GR_chr1_83298928_83298953_26_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006D9332_GR_chr1_83307721_83307785_65_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016314_DQ592235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014058_DQ589211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000057B6A_GR_chr1_83985511_83985538_28_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_017073_DQ593594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000069FB49_GR_chr1_84151639_84151704_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000609F03_GR_chr1_84152401_84152425_25_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_013404_DQ588172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000683BA7_GR_chr1_84295129_84295194_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_010247_DQ583797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006CDFC6_GR_chr1_84694509_84694574_66_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000640799_GR_chr1_84793109_84793158_50_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006CE610_GR_chr1_84993130_84993195_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000075CEC2_GR_chr1_85133794_85133873_80_+	0	0	0	0.33	0	0	0	0.5	0.83	0.5	0	0.5	1.5	0.33	0	0	1.5	1.33
URS0000567AB1_GR_chr1_85133806_85133827_22_+	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0.5
URS00001481F9_GR_chr1_85133842_85133862_21_+	0	0	0	0.33	0	0	0	0	0.33	0	0	0.17	0	0.33	0	0	0	0
URS00005FE9BE_GR_chr1_85133842_85133863_22_+	0	0	0	0.33	0	0	0	0	0.33	0	0	0.17	0	0.33	0	0	0	0.33
URS00004828B3_GR_chr1_85334204_85334230_27_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006BB772_GR_chr1_85383419_85383484_66_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001D0903_GR_chr1_85567237_85567288_52_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000067CDA6_GR_chr1_85592280_85592356_77_+	3.26	1.4	2.17	0.31	1.31	0.24	0.4	0	1.03	0	1.83	1.78	0	0	3.19	0.53	0.78	0.43
URS000044F4CD_GR_chr1_85642597_85642623_27_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016401_DQ592349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_019760_DQ597123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_015107_DQ590650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000075A368_GR_chr1_86357632_86357687_56_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000075BCE8_GR_chr1_86357665_86357685_21_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00003C1030_GR_chr1_86710318_86710344_27_-	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0
hsa_piR_016955_DQ593380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_009623_DQ582982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000082C8C1_GR_chr1_87413409_87413463_55_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_023196_DQ601726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00008B3882_GR_chr1_87959431_87959477_47_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_015679_DQ591425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_020178_DQ597714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011675_DQ585804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001BC446_GR_chr1_88794511_88794586_76_+	0	0	0	0	0	0	0	0	0	0	0.03	0.06	0.03	0.05	0	0.03	0	0
hsa_piR_005385_DQ577405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016729_DQ593030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011870_DQ586052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_013218_DQ587917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0
hsa_piR_002024_DQ572711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_018647_DQ595643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000057C8F9_GR_chr1_89438733_89438764_32_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006A0B59_GR_chr1_89452382_89452447_66_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011034_DQ584891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_012507_DQ586920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00000B4AAC_GR_chr1_90688131_90688173_43_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_000856_DQ571078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016679_DQ592955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000661BF3_GR_chr1_90826183_90826253_71_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000164559_GR_chr1_90892472_90892502_31_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00005B2945_GR_chr1_90997923_90997956_34_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014615_DQ590007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_000958_DQ571218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_000396_DQ570479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_002622_DQ573540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000067F17_GR_chr1_91395596_91395620_25_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000067AF2E_GR_chr1_91412649_91412725_77_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_007328_DQ579992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_021956_DQ600068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000443B91_GR_chr1_91535014_91535040_27_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00002FE02E_GR_chr1_91573085_91573118_34_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00004384C7_GR_chr1_91641199_91641246_48_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001A8435_GR_chr1_91641199_91641247_49_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011031_DQ584887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000452DFF_GR_chr1_92025873_92025917_45_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000452DFF_GR_chr1_92026199_92026243_45_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_001236_DQ571646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_000467_DQ570577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00002E0A2C_GR_chr1_92837289_92837383_95_+	188	430.5	541.25	593.5	157.39	465.25	525.67	585.75	725.08	567	195	2332.69	122.5	524.75	344.5	282.5	462.28	493.75
URS00004FFA7B_GR_chr1_92850433_92850461_29_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006C2461_GR_chr1_92983791_92983856_66_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000070AA86_GR_chr1_93027410_93027506_97_-	0.07	0	0.04	0.29	0.09	0.04	0.15	0.05	0.12	0.17	0.05	0.36	0.23	0.06	0.62	0	0.38	1.03
hsa_piR_020528_DQ598234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001F796D_GR_chr1_93407926_93407966_41_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000022935D_GR_chr1_93413130_93413157_28_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_023207_DQ601741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000417A0F_GR_chr1_93516277_93516349_73_-	1.26	1.05	2.7	1.88	3.02	1.02	2.82	2.17	2.57	1.48	0.39	14.19	0.28	1.18	1.57	2.35	1.56	1.42
URS00003736D0_GR_chr1_93516319_93516349_31_-	0.03	0	0.11	0.02	0.55	0.02	0.75	0	0.3	0	0	0.57	0	0.27	0.34	0.04	0.08	0.01
URS00005372AE_GR_chr1_93516320_93516349_30_-	0.02	0	0.01	0	0.52	0	0.75	0	0.29	0	0	0.29	0	0.26	0.26	0.01	0.02	0
URS00005E4552_GR_chr1_93516321_93516349_29_-	0.02	0	0.01	0	0.27	0	0	0	0.29	0	0	0.29	0	0.26	0.01	0.01	0.02	0
URS0000067D82_GR_chr1_93643972_93643999_28_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00003B0FB4_GR_chr1_93728871_93728898_28_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00001DCB0A_GR_chr1_93728871_93728899_29_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_010632_DQ584319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_006130_DQ578411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000006D1C5_GR_chr1_93846832_93846910_79_+	2.17	0.2	12.24	0.8	5.04	0.9	2.02	1.1	3.47	0.47	3.83	3.11	2.93	1.2	2.58	0.94	2.41	0.57
URS000075ABEC_GR_chr1_93846832_93846911_80_+	2.17	0.2	12.24	0.8	5.04	0.9	2.02	1.1	3.47	0.47	3.83	3.11	2.93	1.2	3.08	0.94	2.41	0.57
URS0000EFEEED_GR_chr1_93846842_93846900_59_+	1.77	0.2	12.04	0.8	4.44	0.9	2.02	0.9	3.47	0.47	3.83	2.66	2.93	1.2	2.33	0.94	2.41	0.57
URS0000D54A4C_GR_chr1_93846843_93846866_24_+	0	0	1.75	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0
URS0000512C88_GR_chr1_93846880_93846899_20_+	0.27	0	2.89	0	0.69	0.27	0.67	0.2	1.02	0.07	0.91	0.38	1.1	0.4	0.75	0.07	0.74	0.1
URS000075BD83_GR_chr1_93846880_93846900_21_+	1.07	0	4.09	0.4	1.95	0.47	1.27	0.6	1.22	0.27	0.91	0.98	1.5	0.6	0.75	0.47	0.74	0.3
URS000047CD44_GR_chr1_93847573_93847657_85_+	167.73	18.59	169.42	37.76	306.69	32.09	1020.32	102.1	743.16	13	30.36	521.91	180.84	82.06	876.43	1871.73	3719.11	34.42
hsa_piR_022650_DQ600994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000627B54_GR_chr1_93933954_93934017_64_+	0.27	0.08	0.09	0	0	0	0.04	0	0	0	0	0.09	0	0	0.04	0.25	0	0
URS00004EE248_GR_chr1_94331432_94331460_29_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000719295_GR_chr1_94438369_94438434_66_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000D4FC0D_GR_chr1_94543702_94543779_78_+	0	0.25	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
URS0000D5391E_GR_chr1_94543754_94543775_22_+	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000075E764_GR_chr1_94745860_94745900_41_-	0	0.33	0.25	0.46	0.12	0.83	0.08	0.6	0.75	0.75	0.43	1.72	0.12	0.97	0.92	10.86	0.5	3.5
URS000018E6CD_GR_chr1_94745880_94745899_20_-	0	2.33	1.75	3.21	0.88	5.83	0.58	6.2	5.25	5.25	3.03	11.89	0.88	6.82	6.45	75.55	3.5	24
URS000055484B_GR_chr1_95054399_95054429_31_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000026C8E4_GR_chr1_95091569_95091595_27_+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000070B5E7_GR_chr1_95125511_95125609_99_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00002A7518_GR_chr1_95167673_95167708_36_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_008024_DQ580915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000082C8C1_GR_chr1_95897018_95897069_52_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_014744_DQ590178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_011901_DQ586098	0	0	0	0	0	0	0	0.6	0	0	0.69	0.6	0	1.12	0	0	0	1.09
hsa_piR_021145_DQ599058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000638427_GR_chr1_97392667_97392732_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000082C8C1_GR_chr1_97445858_97445909_52_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006E540D_GR_chr1_97477232_97477297_66_-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000075AE09_GR_chr1_98045271_98045292_22_-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
URS00005B73E4_GR_chr1_98045273_98045293_21_-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.5	0
URS0000366551_GR_chr1_98045307_98045329_23_-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
URS0000EFE7C8_GR_chr1_98046089_98046149_61_-	0	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0	0.25	0	4.5	0
