seq_piBNK	seq_id	gene_type_piRNAs	gene_id	gene_type_genes	gene_name	type_piRNAs	type_genes
chr11_75009472_75009501_30_+	URS000007E842_GR_chr11_75009472_75009501_30_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009472_75009502_31_+	hsa_piR_001814_DQ572431	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009482_75009512_31_+	URS000052E6AD_GR_chr11_75009482_75009512_31_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009557_75009585_29_+	URS0000042B23_GR_chr11_75009557_75009585_29_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009668_75009698_31_+	hsa_piR_002477_DQ573338	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009810_75009838_29_+	URS000059DEF8_GR_chr11_75009810_75009838_29_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009814_75009841_28_+	hsa_piR_020353_DQ597955	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009822_75009852_31_+	URS00000EFBF0_GR_chr11_75009822_75009852_31_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75009981_75010008_28_+	hsa_piR_003954_DQ575386	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010030_75010057_28_+	URS000045BCC6_GR_chr11_75010030_75010057_28_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010030_75010059_30_+	hsa_piR_002384_DQ573212	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010044_75010073_30_+	hsa_piR_023108_DQ601601	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010062_75010087_26_+	URS00000F52A3_GR_chr11_75010062_75010087_26_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010062_75010090_29_+	hsa_piR_017516_DQ594205	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010067_75010095_29_+	URS0000009208_GR_chr11_75010067_75010095_29_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010067_75010096_30_+	hsa_piR_023110_DQ601606	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010074_75010103_30_+	hsa_piR_010370_DQ583960	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010115_75010142_28_+	hsa_piR_004189_DQ575712	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010133_75010163_31_+	URS00004E78C7_GR_chr11_75010133_75010163_31_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010138_75010167_30_+	hsa_piR_010782_DQ584549	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010274_75010303_30_+	hsa_piR_005613_DQ577711	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010300_75010325_26_+	URS00002E594A_GR_chr11_75010300_75010325_26_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010322_75010351_30_+	hsa_piR_005718_DQ577855	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010324_75010352_29_+	hsa_piR_009983_DQ583437	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010413_75010441_29_+	hsa_piR_021631_DQ599661	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010485_75010515_31_+	hsa_piR_001885_DQ572515	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010519_75010545_27_+	hsa_piR_017888_DQ594681	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010658_75010684_27_+	hsa_piR_000597_DQ570740	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010776_75010801_26_+	hsa_piR_000700_DQ570871	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010782_75010808_27_+	hsa_piR_008049_DQ580951	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010788_75010813_26_+	hsa_piR_018149_DQ595000	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010816_75010841_26_+	URS000038D9C7_GR_chr11_75010816_75010841_26_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010816_75010842_27_+	URS0000093785_GR_chr11_75010816_75010842_27_+	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75010816_75010843_28_+	hsa_piR_015784_DQ591572	piRNA	ENSG00000162139.10	protein_coding	NEU3	exon	exon
chr11_75400392_75400421_30_+	hsa_piR_017791_DQ594556	piRNA	ENSG00000149273.15	protein_coding	RPS3	exon	exon
chr11_75442464_75442493_30_-	hsa_piR_012635_DQ587086	piRNA	ENSG00000158555.15	protein_coding	GDPD5	exon	exon
chr11_76012938_76012966_29_+	hsa_piR_012158_DQ586428	piRNA	ENSG00000198382.9	protein_coding	UVRAG	exon	exon
chr11_76791764_76791793_30_+	URS00002B2324_GR_chr1_4858660_4858689_30_+	piRNA	ENSG00000182704.8	protein_coding	TSKU	exon	exon
chr11_77216641_77216667_27_-	hsa_piR_016179_DQ592070	piRNA	ENSG00000178795.9	protein_coding	GDPD4	exon	exon
chr11_77891345_77891375_31_-	hsa_piR_019624_DQ596928	piRNA	ENSG00000149262.17	protein_coding	INTS4	exon	exon
chr11_78209590_78209616_27_+	hsa_piR_011939_DQ586150	piRNA	ENSG00000118369.13	protein_coding	USP35	exon	exon
chr11_78210218_78210244_27_+	hsa_piR_010207_DQ583748	piRNA	ENSG00000118369.13	protein_coding	USP35	exon	exon
chr11_78216202_78216228_27_-	hsa_piR_001092_DQ571405	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78216695_78216722_28_-	hsa_piR_016332_DQ592256	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78216697_78216722_26_-	URS0000095A34_GR_chr11_78216697_78216722_26_-	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78217159_78217184_26_-	hsa_piR_009041_DQ582251	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78217218_78217245_28_-	hsa_piR_019095_DQ596216	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78219335_78219363_29_-	hsa_piR_000220_DQ570236	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78219366_78219392_27_-	hsa_piR_008617_DQ581698	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78223417_78223443_27_-	URS00005EDEE9_GR_chr11_78223417_78223443_27_-	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78225167_78225194_28_-	hsa_piR_015699_DQ591453	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78226704_78226731_28_-	hsa_piR_012834_DQ587377	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78226942_78226970_29_-	hsa_piR_012424_DQ586803	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_78250202_78250227_26_-	hsa_piR_018632_DQ595626	piRNA	ENSG00000033327.13	protein_coding	GAB2	exon	exon
chr11_93742013_93742041_29_+	hsa_piR_004930_DQ576784	piRNA	ENSG00000182919.14	protein_coding	C11orf54	exon	exon
chr11_94129452_94129477_26_+	hsa_piR_011831_DQ586003	piRNA	ENSG00000110218.9	protein_coding	PANX1	exon	exon
chr11_94547775_94547805_31_+	hsa_piR_022726_DQ601090	piRNA	ENSG00000196371.3	protein_coding	FUT4	exon	exon
chr11_94999272_94999297_26_+	hsa_piR_013942_DQ589056	piRNA	ENSG00000186280.7	protein_coding	KDM4D	exon	exon
chr11_95827558_95827585_28_+	hsa_piR_018190_DQ595054	piRNA	ENSG00000166037.11	protein_coding	CEP57	exon	exon
chr11_100973199_100973225_27_+	hsa_piR_005416_DQ577449	piRNA	ENSG00000165895.19	protein_coding	ARHGAP42	exon	exon
chr11_108128981_108129012_32_+	URS000039D770_GR_chr11_108128981_108129012_32_+	piRNA	ENSG00000075239.14	protein_coding	ACAT1	exon	exon
chr11_111602466_111602494_29_+	hsa_piR_000907_DQ571152	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111723584_111723613_30_+	hsa_piR_009090_DQ582318	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111724482_111724507_26_+	hsa_piR_014662_DQ590070	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111724660_111724686_27_+	hsa_piR_011780_DQ585934	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111725638_111725664_27_+	hsa_piR_000719_DQ570893	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111726657_111726683_27_+	hsa_piR_004051_DQ575531	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111726902_111726928_27_+	hsa_piR_005064_DQ576995	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111727469_111727494_26_+	hsa_piR_003696_DQ575021	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111729155_111729186_32_+	hsa_piR_016542_DQ592782	piRNA	ENSG00000170145.5	protein_coding	SIK2	exon	exon
chr11_111738005_111738033_29_-	hsa_piR_011089_DQ584959	piRNA	ENSG00000137713.16	protein_coding	PPP2R1B	exon	exon
chr11_112084029_112084055_27_+	hsa_piR_012979_DQ587593	piRNA	ENSG00000150776.18	protein_coding	NKAPD1	exon	exon
chr11_114252894_114252920_27_+	hsa_piR_019258_DQ596438	piRNA	ENSG00000109906.14	protein_coding	ZBTB16	exon	exon
chr11_115231431_115231457_27_-	hsa_piR_000110_DQ570080	piRNA	ENSG00000182985.17	protein_coding	CADM1	exon	exon
chr11_117190843_117190869_27_+	hsa_piR_022958_DQ601387	piRNA	ENSG00000149577.16	protein_coding	SIDT2	exon	exon
chr11_117191713_117191743_31_+	URS00002D4C06_GR_chr11_117191713_117191743_31_+	piRNA	ENSG00000149577.16	protein_coding	SIDT2	exon	exon
chr11_118133615_118133642_28_-	hsa_piR_001690_DQ572283	piRNA	ENSG00000177098.8	protein_coding	SCN4B	exon	exon
chr11_118136241_118136268_28_-	URS00002EA7D8_GR_chr11_118136241_118136268_28_-	piRNA	ENSG00000177098.8	protein_coding	SCN4B	exon	exon
chr11_118227120_118227146_27_-	hsa_piR_012078_DQ586318	piRNA	ENSG00000160588.10	protein_coding	MPZL3	exon	exon
chr11_118229335_118229364_30_-	hsa_piR_017063_DQ593577	piRNA	ENSG00000160588.10	protein_coding	MPZL3	exon	exon
chr11_118750979_118751004_26_-	hsa_piR_019360_DQ596593	piRNA	ENSG00000110367.13	protein_coding	DDX6	exon	exon
chr11_119018917_119018946_30_+	hsa_piR_000828_DQ571038	piRNA	ENSG00000196655.12	protein_coding	TRAPPC4	exon	exon
chr11_119018920_119018945_26_+	hsa_piR_021767_DQ599821	piRNA	ENSG00000196655.12	protein_coding	TRAPPC4	exon	exon
chr11_119023516_119023546_31_+	URS000004097E_GR_chr11_119023516_119023546_31_+	piRNA	ENSG00000196655.12	protein_coding	TRAPPC4	exon	exon
chr11_119054172_119054197_26_-	hsa_piR_009982_DQ583435	piRNA	ENSG00000149428.19	protein_coding	HYOU1	exon	exon
chr11_119134845_119134870_26_+	hsa_piR_017309_DQ593926	piRNA	ENSG00000172273.13	protein_coding	HINFP	exon	exon
chr11_119193525_119193550_26_-	hsa_piR_010788_DQ584555	piRNA	ENSG00000248712.7	protein_coding	CCDC153	exon	exon
chr11_119285446_119285476_31_+	hsa_piR_004137_DQ575639	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119301664_119301693_30_+	hsa_piR_005181_DQ577149	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119301774_119301804_31_+	hsa_piR_001262_DQ571723	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119302102_119302132_31_+	hsa_piR_016175_DQ592063	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119302231_119302259_29_+	hsa_piR_008001_DQ580880	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119302600_119302628_29_+	hsa_piR_005424_DQ577457	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119302614_119302643_30_+	hsa_piR_014266_DQ589498	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119302621_119302651_31_+	hsa_piR_002345_DQ573165	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119303181_119303210_30_+	hsa_piR_018615_DQ595601	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119303377_119303405_29_+	hsa_piR_019659_DQ596969	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119303652_119303680_29_+	hsa_piR_013714_DQ588730	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119304051_119304076_26_+	hsa_piR_003057_DQ574133	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119304291_119304319_29_+	hsa_piR_016553_DQ592796	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119305429_119305457_29_+	URS0000269278_GR_chr11_119305429_119305457_29_+	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119305829_119305858_30_+	hsa_piR_004628_DQ576361	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119307111_119307139_29_+	hsa_piR_007037_DQ579598	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_119307122_119307150_29_+	URS00004FF511_GR_chr11_119307122_119307150_29_+	piRNA	ENSG00000110395.7	protein_coding	CBL	exon	exon
chr11_123060710_123060737_28_-	hsa_piR_018444_DQ595374	piRNA	ENSG00000109971.14	protein_coding	HSPA8	exon	exon
chr11_123061245_123061274_30_-	hsa_piR_016065_DQ591926	piRNA	ENSG00000109971.14	protein_coding	HSPA8	exon	exon
chr11_124633480_124633510_31_+	URS00004DE511_GR_chr11_124633480_124633510_31_+	piRNA	ENSG00000154144.13	protein_coding	TBRG1	exon	exon
chr11_124636810_124636839_30_-	URS00005FB162_GR_chr11_124636810_124636839_30_-	piRNA	ENSG00000110013.13	protein_coding	SIAE	exon	exon
chr11_125431321_125431348_28_+	URS00003822F8_GR_chr11_125431321_125431348_28_+	piRNA	ENSG00000165495.16	protein_coding	PKNOX2	exon	exon
chr11_125887688_125887717_30_+	hsa_piR_019966_DQ597425	piRNA	ENSG00000198331.10	protein_coding	HYLS1	exon	exon
chr11_125899624_125899651_28_+	hsa_piR_003661_DQ574979	piRNA	ENSG00000198331.10	protein_coding	HYLS1	exon	exon
chr11_126010459_126010484_26_-	hsa_piR_012620_DQ587066	piRNA	ENSG00000064309.14	protein_coding	CDON	exon	exon
chr11_129376190_129376215_26_+	hsa_piR_005158_DQ577116	piRNA	ENSG00000043039.7	protein_coding	BARX2	exon	exon
chr11_130135701_130135727_27_+	hsa_piR_022133_DQ600312	piRNA	ENSG00000084234.17	protein_coding	APLP2	exon	exon
chr11_130876196_130876226_31_-	hsa_piR_003834_DQ575216	piRNA	ENSG00000120451.10	protein_coding	SNX19	exon	exon
chr11_130906098_130906128_31_-	hsa_piR_007551_DQ580297	piRNA	ENSG00000120451.10	protein_coding	SNX19	exon	exon
chr11_130915313_130915343_31_-	hsa_piR_004687_DQ576434	piRNA	ENSG00000120451.10	protein_coding	SNX19	exon	exon
chr11_133898890_133898915_26_-	hsa_piR_018458_DQ595392	piRNA	ENSG00000080854.15	protein_coding	IGSF9B	exon	exon
chr11_133903538_133903564_27_-	hsa_piR_020517_DQ598217	piRNA	ENSG00000080854.15	protein_coding	IGSF9B	exon	exon
chr11_134148641_134148667_27_+	hsa_piR_013343_DQ588092	piRNA	ENSG00000166086.13	protein_coding	JAM3	exon	exon
chr11_134203750_134203776_27_-	hsa_piR_016464_DQ592422	piRNA	ENSG00000151503.13	protein_coding	NCAPD3	exon	exon
chr11_134240023_134240048_26_+	hsa_piR_002121_DQ572831	piRNA	ENSG00000151502.11	protein_coding	VPS26B	exon	exon
chr11_134245037_134245063_27_+	hsa_piR_014830_DQ590290	piRNA	ENSG00000151502.11	protein_coding	VPS26B	exon	exon
chr11_134310161_134310187_27_+	hsa_piR_019010_DQ596097	piRNA	ENSG00000166105.16	protein_coding	GLB1L3	exon	exon
chr12_283063_283094_32_-	URS0000142E53_GR_chr12_283063_283094_32_-	piRNA	ENSG00000073614.13	protein_coding	KDM5A	exon	exon
chr12_292790_292816_27_-	hsa_piR_008647_DQ581736	piRNA	ENSG00000073614.13	protein_coding	KDM5A	exon	exon
chr12_350649_350675_27_-	URS00005DA22D_GR_chr12_350649_350675_27_-	piRNA	ENSG00000073614.13	protein_coding	KDM5A	exon	exon
chr12_549770_549796_27_+	hsa_piR_007543_DQ580280	piRNA	ENSG00000139044.12	protein_coding	B4GALNT3	exon	exon
chr12_910023_910048_26_+	hsa_piR_007927_DQ580784	piRNA	ENSG00000060237.17	protein_coding	WNK1	exon	exon
chr12_1490496_1490524_29_+	URS000056F68D_GR_chr12_1490496_1490524_29_+	piRNA	ENSG00000082805.20	protein_coding	ERC1	exon	exon
chr12_1491615_1491642_28_+	hsa_piR_018248_DQ595130	piRNA	ENSG00000082805.20	protein_coding	ERC1	exon	exon
chr12_1592912_1592941_30_-	hsa_piR_016906_DQ593286	piRNA	ENSG00000171823.7	protein_coding	FBXL14	exon	exon
chr12_1785973_1786000_28_+	hsa_piR_016103_DQ591973	piRNA	ENSG00000006831.10	protein_coding	ADIPOR2	exon	exon
chr12_1788161_1788186_26_+	hsa_piR_000395_DQ570478	piRNA	ENSG00000006831.10	protein_coding	ADIPOR2	exon	exon
chr12_2861379_2861407_29_-	URS00003048A7_GR_chr1_9899008_9899036_29_+	piRNA	ENSG00000111206.13	protein_coding	FOXM1	exon	exon
chr12_2887948_2887973_26_+	hsa_piR_003825_DQ575204	piRNA	ENSG00000171792.11	protein_coding	RHNO1	exon	exon
chr12_2888309_2888334_26_+	hsa_piR_021515_DQ599524	piRNA	ENSG00000171792.11	protein_coding	RHNO1	exon	exon
chr12_4302427_4302452_26_+	hsa_piR_009738_DQ583121	piRNA	ENSG00000118971.8	protein_coding	CCND2	exon	exon
chr12_4509213_4509239_27_-	URS00002B0A5E_GR_chr1_49006342_49006368_27_-	piRNA	ENSG00000047621.12	protein_coding	C12orf4	exon	exon
chr12_4604907_4604934_28_+	hsa_piR_004247_DQ575790	piRNA	ENSG00000010219.13	protein_coding	DYRK4	exon	exon
chr12_4689332_4689360_29_+	URS00005923D6_GR_chr1_6304426_6304454_29_+	piRNA	ENSG00000139180.11	protein_coding	NDUFA9	exon	exon
chr12_4689357_4689382_26_+	URS000057DF45_GR_chr1_8503022_8503047_26_-	piRNA	ENSG00000139180.11	protein_coding	NDUFA9	exon	exon
chr12_4689796_4689825_30_+	URS0000344D01_GR_chr1_6304892_6304921_30_+	piRNA	ENSG00000139180.11	protein_coding	NDUFA9	exon	exon
chr12_4765409_4765436_28_+	hsa_piR_001771_DQ572380	piRNA	ENSG00000255639.3	protein_coding	AC005833.1	exon	exon
chr12_6021538_6021564_27_-	hsa_piR_007264_DQ579901	piRNA	ENSG00000110799.13	protein_coding	VWF	exon	exon
chr12_6526325_6526353_29_+	hsa_piR_002646_DQ573571	piRNA	ENSG00000010292.13	protein_coding	NCAPD2	exon	exon
chr12_6530948_6530978_31_+	URS00000ABF7E_GR_chr12_6530948_6530978_31_+	piRNA	ENSG00000010292.13	protein_coding	NCAPD2	exon	exon
chr12_6600978_6601007_30_-	hsa_piR_010504_DQ584145	piRNA	ENSG00000285238.2	protein_coding	AC006064.6	exon	exon
chr12_6667053_6667081_29_-	hsa_piR_018529_DQ595481	piRNA	ENSG00000126746.17	protein_coding	ZNF384	exon	exon
chr12_6858458_6858485_28_+	URS000003D64C_GR_chr12_6858458_6858485_28_+	piRNA	ENSG00000111667.13	protein_coding	USP5	exon	exon
chr12_6868950_6868976_27_+	hsa_piR_021676_DQ599712	piRNA	ENSG00000111669.15	protein_coding	TPI1	exon	exon
chr12_6943878_6943905_28_+	hsa_piR_006001_DQ578235	piRNA	ENSG00000111678.11	protein_coding	C12orf57	exon	exon
chr12_6977643_6977671_29_+	URS00000A96B7_GR_chr12_6977643_6977671_29_+	piRNA	ENSG00000126749.16	protein_coding	EMG1	exon	exon
chr12_7203471_7203497_27_+	hsa_piR_019434_DQ596687	piRNA	ENSG00000139197.10	protein_coding	PEX5	exon	exon
chr12_7207662_7207689_28_+	hsa_piR_022010_DQ600153	piRNA	ENSG00000139197.10	protein_coding	PEX5	exon	exon
chr12_7379224_7379249_26_-	hsa_piR_012113_DQ586365	piRNA	ENSG00000177675.8	protein_coding	CD163L1	exon	exon
chr12_8940637_8940667_31_-	hsa_piR_021517_DQ599526	piRNA	ENSG00000003056.8	protein_coding	M6PR	exon	exon
chr12_8940693_8940722_30_-	hsa_piR_012011_DQ586234	piRNA	ENSG00000003056.8	protein_coding	M6PR	exon	exon
chr12_8941069_8941099_31_-	hsa_piR_016769_DQ593078	piRNA	ENSG00000003056.8	protein_coding	M6PR	exon	exon
chr12_8941264_8941292_29_-	hsa_piR_005514_DQ577575	piRNA	ENSG00000003056.8	protein_coding	M6PR	exon	exon
chr12_9010129_9010158_30_+	URS00002B1BA6_GR_chr1_15677810_15677839_30_-	piRNA	ENSG00000139187.10	protein_coding	KLRG1	exon	exon
chr12_9695538_9695564_27_+	hsa_piR_009729_DQ583108	piRNA	ENSG00000069493.15	protein_coding	CLEC2D	exon	exon
chr12_10324118_10324145_28_+	URS00000B4631_GR_chr1_1262113_1262140_28_+	piRNA	ENSG00000134539.17	protein_coding	KLRD1	exon	exon
chr12_11894276_11894302_27_+	hsa_piR_011009_DQ584860	piRNA	ENSG00000139083.11	protein_coding	ETV6	exon	exon
chr12_12361228_12361253_26_+	hsa_piR_022630_DQ600956	piRNA	ENSG00000165714.11	protein_coding	BORCS5	exon	exon
chr12_12468037_12468063_27_+	hsa_piR_008620_DQ581702	piRNA	ENSG00000165714.11	protein_coding	BORCS5	exon	exon
chr12_12470519_12470549_31_+	hsa_piR_007489_DQ580213	piRNA	ENSG00000165714.11	protein_coding	BORCS5	exon	exon
chr12_12470530_12470555_26_+	hsa_piR_011142_DQ585043	piRNA	ENSG00000165714.11	protein_coding	BORCS5	exon	exon
chr12_12476522_12476549_28_-	hsa_piR_020843_DQ598695	piRNA	ENSG00000111266.9	protein_coding	DUSP16	exon	exon
chr12_12717833_12717858_26_+	hsa_piR_019277_DQ596464	piRNA	ENSG00000111276.11	protein_coding	CDKN1B	exon	exon
chr12_12787284_12787313_30_+	hsa_piR_010684_DQ584392	piRNA	ENSG00000178878.12	protein_coding	APOLD1	exon	exon
chr12_12789536_12789566_31_+	hsa_piR_000729_DQ570909	piRNA	ENSG00000178878.12	protein_coding	APOLD1	exon	exon
chr12_12791135_12791163_29_+	URS000006BFCE_GR_chr12_12791135_12791163_29_+	piRNA	ENSG00000178878.12	protein_coding	APOLD1	exon	exon
chr12_13066749_13066774_26_+	hsa_piR_002260_DQ573050	piRNA	ENSG00000084444.14	protein_coding	FAM234B	exon	exon
chr12_14774733_14774762_30_+	hsa_piR_004234_DQ575775	piRNA	ENSG00000246705.4	protein_coding	H2AJ	exon	exon
chr12_14786733_14786762_30_-	URS000019F77E_GR_chr12_14786733_14786762_30_-	piRNA	ENSG00000084463.8	protein_coding	WBP11	exon	exon
chr12_14787325_14787353_29_-	hsa_piR_020257_DQ597814	piRNA	ENSG00000084463.8	protein_coding	WBP11	exon	exon
chr12_16383547_16383577_31_+	URS000056E8E5_GR_chr1_8103970_8104000_31_+	piRNA	ENSG00000008394.13	protein_coding	MGST1	exon	exon
chr12_21419238_21419267_30_-	URS00001E4C40_GR_chr1_25506618_25506647_30_-	piRNA	ENSG00000084453.16	protein_coding	SLCO1A2	exon	exon
chr12_21449619_21449645_27_+	hsa_piR_012624_DQ587073	piRNA	ENSG00000121350.16	protein_coding	PYROXD1	exon	exon
chr12_28305677_28305702_26_+	hsa_piR_004617_DQ576348	piRNA	ENSG00000123106.10	protein_coding	CCDC91	exon	exon
chr12_29640980_29641005_26_-	URS0000015111_GR_chr1_83298928_83298953_26_-	piRNA	ENSG00000133687.16	protein_coding	TMTC1	exon	exon
chr12_30994374_30994400_27_+	hsa_piR_017517_DQ594206	piRNA	ENSG00000110900.15	protein_coding	TSPAN11	exon	exon
chr12_48149828_48149853_26_-	hsa_piR_016535_DQ592773	piRNA	ENSG00000177981.11	protein_coding	ASB8	exon	exon
chr12_48151224_48151250_27_-	hsa_piR_014928_DQ590412	piRNA	ENSG00000177981.11	protein_coding	ASB8	exon	exon
chr12_48834710_48834738_29_-	URS00005D34B8_GR_chr1_4779921_4779949_29_-	piRNA	ENSG00000174243.10	protein_coding	DDX23	exon	exon
chr12_49097386_49097415_30_-	hsa_piR_018714_DQ595726	piRNA	ENSG00000139636.15	protein_coding	LMBR1L	exon	exon
chr12_49128681_49128706_26_-	hsa_piR_014460_DQ589802	piRNA	ENSG00000123416.15	protein_coding	TUBA1B	exon	exon
chr12_49185733_49185758_26_-	hsa_piR_014460_DQ589802	piRNA	ENSG00000167552.14	protein_coding	TUBA1A	exon	exon
chr12_49272485_49272510_26_+	hsa_piR_014460_DQ589802	piRNA	ENSG00000167553.16	protein_coding	TUBA1C	exon	exon
chr12_49645730_49645756_27_-	hsa_piR_000449_DQ570549	piRNA	ENSG00000161791.14	protein_coding	FMNL3	exon	exon
chr12_49741975_49742000_26_+	hsa_piR_022946_DQ601367	piRNA	ENSG00000139644.13	protein_coding	TMBIM6	exon	exon
chr12_49763756_49763781_26_+	hsa_piR_000168_DQ570161	piRNA	ENSG00000139644.13	protein_coding	TMBIM6	exon	exon
chr12_49990038_49990065_28_-	hsa_piR_011887_DQ586078	piRNA	ENSG00000161800.13	protein_coding	RACGAP1	exon	exon
chr12_50120275_50120304_30_+	URS000001AE70_GR_chr12_50120275_50120304_30_+	piRNA	ENSG00000178449.9	protein_coding	COX14	exon	exon
chr12_51082641_51082666_26_-	hsa_piR_004190_DQ575715	piRNA	ENSG00000110925.7	protein_coding	CSRNP2	exon	exon
chr12_51453612_51453641_30_+	hsa_piR_018170_DQ595030	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51457360_51457385_26_+	hsa_piR_012761_DQ587277	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51475102_51475131_30_+	hsa_piR_021781_DQ599838	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51485810_51485839_30_+	hsa_piR_011981_DQ586198	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51501854_51501881_28_+	hsa_piR_008778_DQ581909	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51511040_51511069_30_+	hsa_piR_014238_DQ589458	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51511245_51511271_27_+	hsa_piR_014791_DQ590240	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51513830_51513859_30_+	hsa_piR_002492_DQ573361	piRNA	ENSG00000050438.17	protein_coding	SLC4A8	exon	exon
chr12_51662874_51662901_28_+	hsa_piR_008215_DQ581161	piRNA	ENSG00000196876.18	protein_coding	SCN8A	exon	exon
